subjectNo,beatScore
500,14
501,15
502,16
503,15
504,12
505,9
506,15
507,7
508,14
509,14
510,15
511,16
512,13
513,16
514,14
515,16
516,13
517,12
518,10
519,11
520,12
521,16
522,14
523,13
524,10
525,13
526,12
527,13
528,8
529,14
530,16
531,16
532,16
533,13
534,12
535,14
536,15
537,12
538,15
539,10
540,15
541,12
542,16
543,10
544,13
545,11
546,8
547,14
548,15
549,14
550,16
551,13
552,16
553,13
554,15
555,10
700,16
701,15
702,9
703,14
704,13
705,10
706,15
707,13
708,15
709,14
710,14
711,9
712,9
713,11
714,11
715,15
716,15
717,12
718,15
719,15
720,15
721,6
722,16
723,13
724,16
725,16
726,14
727,9
728,16
729,16
730,13
731,11
732,16
733,13
734,8
735,16
736,16
900,9
901,16
902,7
903,16
904,11
905,11
906,15
907,9
908,8
909,12
910,13
911,9
912,8
913,12
914,12
915,14
916,14
917,10
918,12
919,9
920,11
921,16
922,8
923,14
924,11
925,14
926,13
927,9
928,13
929,11
930,13
931,12
932,9
933,12
934,11
935,13
936,8
937,13
938,11
939,13
939,12
940,8
941,12
942,10
943,12
945,12
946,11
947,10
948,12
949,9
950,11
951,14
952,9
953,10
954,11
955,11
956,13
957,12
958,13
959,13
960,13
961,9
962,9
963,15
964,12
965,10
966,12
967,9
968,13
969,12
970,9
971,11
1001,11
1002,9
1003,12
1004,11
1005,15
1006,12
1007,16
1008,11
1009,13
1010,15
1011,12
1012,15
1013,9
1014,7
1015,9
1016,12
1017,8
1018,12
1019,15
1020,9
1021,12
1022,12
1023,8
1024,9
1025,9
1026,10
1027,15
1028,9
1029,10
1030,10
1031,6
1032,13
1033,11
1034,12
1035,11
1036,13
1037,12
1038,10
1039,8
1040,13
1041,12
1042,10
1043,10
1044,10
1045,10
1046,11
1047,14
1048,15
1049,14
1050,9
1051,9
1052,15
1053,9
1054,12
1055,12
1300,12
1301,16
1302,13
1303,11
1304,12
1305,15
