subjectNo,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,listMeds,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,beatScore,melodicScore,ravensScoreA,ravensScoreB,ravensScoreC,ravenAge,ravenSex,ravenHand,ravenHearing,ravenVision,V1,nsTotalScore,nsAttempted,nsTotalTime,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanscore,symSspanTotal,symSspanPartialScore,symSspanPartialScoreBlock1,symSspanPartialScoreBlock2,symSspanPartialScoreBlock3,symSspanAbsoluteScore,symSymmetryCorrect,MathErrorTotal,OspanScore,OspanTotal,SpeedErrorTotal,AccErrorTotal,OspanPartialScore,OspanPartialBlock1,OspanPartialBlock2,OspanPartialBlock3,OspanAbsoluteScore,MathCorrect,tSpanPartialScore,tsMathErrorTotal,tspanPartialBlock1,tspanPartialBlock2,tspanPartialBlock3,tsAccErrorTotal,tsSpeedErrorTotal,tsAbsoluteScore,tsStrats
500,48,48,30,42,35,102,5,6,4,4,4,5,7,5,7,7,5,5,3,5,2,2,2,2,2,1,1,1,1,2,2,1,voice,19,FEMALE,1,,7,4,5,7,3,7,6,7,2,5,5,5,6,5,6,6,6,4,7,7,2,2,3,5,4,5,7,7,6,7,5,5,5,5,6,6,6,7,14,8,9,8,7,19,female,right,No,Corrected to Normal,72,7,10,5,6,3,3,,,25,9,8,8,17,42,5,,,2,3,69,20,25,24,63,76,72,7,24,25,23,6,1,62,No Data Collected
501,60,53,40,47,37,117,7,5,5,5,6,4,5,6,6,6,5,6,3,6,7,8,8,2,3,1,2,3,1,2,3,7,voice,19,FEMALE,1,,7,7,6,7,6,6,7,7,7,7,5,6,6,5,6,6,7,5,6,7,6,6,4,6,5,7,7,7,7,7,6,6,6,6,7,6,6,6,15,7,11,9,11,19,female,right,No,Corrected to Normal,73,13,15,5,1,1,0,,,29,10,12,7,22,47,2,,,1,1,64,18,23,23,49,79,57,2,17,19,21,2,0,41,No Data Collected
502,46,54,33,37,38,107,7,7,1,1,3,7,7,1,7,7,6,7,4,7,3,4,8,1,1,1,1,1,1,1,1,1,PercussionnPercussion,19,Male,1,,7,4,6,7,2,7,6,5,2,6,6,5,6,6,6,7,6,6,7,7,5,7,1,1,5,6,6,5,6,3,7,4,6,6,7,6,6,7,16,8,11,9,9,19,male,right,No,Normal,74,4,11,5,2,2,0,,,28,10,10,8,20,46,3,,,0,3,68,18,25,25,63,78,65,3,22,19,24,2,1,48,No Data Collected
503,48,49,34,36,34,94,6,6,2,4,5,4,4,4,5,6,4,4,4,5,2,2,6,2,2,1,2,2,1,2,2,1,French Horn,18,FEMALE,1,,6,5,7,6,4,7,7,3,3,6,6,6,5,6,6,6,3,5,6,7,5,5,3,5,3,6,4,6,6,4,5,5,6,5,5,5,6,7,15,10,10,10,8,18,female,right,No,Normal,75,9,12,5,5,4,1,,,26,11,7,8,10,42,3,,,2,1,50,12,21,17,27,77,64,4,25,18,21,0,4,46,No Data Collected
504,38,50,37,29,38,87,5,5,2,5,6,1,4,4,4,7,6,7,4,7,2,3,2,2,3,1,2,2,1,3,1,5,Voice,19,FEMALE,1,,2,1,5,6,4,6,5,3,6,6,6,5,7,6,6,6,3,5,7,7,6,5,3,6,3,1,7,6,2,5,6,2,3,7,7,7,7,7,12,10,9,9,7,19,female,right,No,Corrected to Normal,76,4,7,5,3,2,1,,,25,10,7,8,11,45,12,,,0,12,63,22,23,18,38,68,73,12,24,25,24,9,3,62,No Data Collected
505,44,51,35,25,34,89,7,6,1,4,4,7,7,5,6,6,5,4,1,5,3,1,4,2,2,1,2,2,1,2,2,1,violanviola,17,FEMALE,1,,6,4,6,6,4,6,6,3,3,6,6,3,6,6,6,6,6,6,6,6,6,5,3,6,3,3,5,6,2,2,5,2,5,6,6,6,5,6,9,5,8,7,10,0,female,right,No,Corrected to Normal,77,8,14,5,0,0,0,,,14,3,3,8,3,48,7,,,3,4,26,15,10,1,21,72,15,1,4,9,2,1,0,3,No Data Collected
506,39,51,33,25,37,79,7,3,3,7,5,5,5,1,3,5,6,5,3,7,8,5,8,2,2,2,2,2,2,2,2,2,Horn,18,MALE,1,,5,2,5,6,3,5,5,5,3,5,7,5,6,5,7,5,5,6,6,7,6,4,3,5,2,1,3,6,3,6,3,3,7,7,7,3,6,7,15,8,9,10,9,18,male,right,No,Corrected to Normal,78,11,14,5,1,1,0,,,36,14,9,13,28,47,9,,,3,6,64,21,21,22,43,72,59,6,16,25,18,6,0,51,No Data Collected
507,59,61,44,43,41,117,6,7,3,3,7,6,7,5,6,7,7,6,4,6,3,6,6,1,1,1,1,1,1,3,1,4,Voice,21,MALE,1,,7,5,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7,6,7,7,7,7,3,6,7,1,7,7,7,7,7,7,7,7,7,6,7,7,7,6,,,,,,,,,79,14,15,5,1,1,0,,,32,13,10,9,23,47,8,,,5,3,68,25,20,23,60,72,71,2,25,25,21,2,0,62,No Data Collected
508,48,49,35,34,31,96,5,6,2,2,3,7,4,5,4,6,7,5,4,5,1,9,8,2,2,2,2,2,2,2,2,2,violanviola,18,FEMALE,1,,6,5,6,6,6,6,5,4,4,4,5,6,6,5,6,6,5,6,6,7,6,4,3,4,5,6,6,5,6,1,6,4,6,4,6,4,6,5,14,7,8,8,7,18,female,left,No,I forgot my glasses.,80,8,12,5,0,0,0,,,35,8,13,14,29,48,7,,,4,3,62,17,25,20,55,73,56,5,21,19,16,4,1,28,No Data Collected
509,45,56,25,42,37,96,4,5,6,6,7,7,7,4,7,5,5,6,4,6,9,8,6,1,1,1,1,1,1,3,2,3,guitar,20,MALE,0,adderall,6,4,6,6,4,5,6,4,4,7,6,6,6,6,6,6,7,6,1,2,6,6,2,5,3,6,7,7,7,6,5,4,5,7,6,6,7,6,14,12,8,8,10,20,male,right,Yes,Normal,81,4,12,5,4,1,3,,,35,12,10,13,20,43,5,,,1,4,71,21,25,25,65,76,63,7,18,22,23,7,0,45,No Data Collected
