"","subjectNo","nsTotalScore","nsAttempted","nsTotalTime"
"1",1001,7,11,5
"2",1002,11,15,5
"3",1003,11,14,5
"4",1004,8,13,5
"5",1005,10,12,5
"6",1006,10,13,5
"7",1007,12,15,5
"8",1008,8,14,5
"9",1009,12,14,5
"10",1010,13,15,5
"11",1011,9,15,5
"12",1012,8,15,5
"13",1013,9,12,5
"14",1014,11,15,5
"15",1015,7,12,5
"16",1016,2,15,1
"17",1017,10,15,4
"18",1018,13,15,5
"19",1019,8,11,5
"20",1020,7,13,5
"21",1021,5,15,4
"22",1022,10,13,5
"23",1023,4,11,5
"24",1024,10,15,5
"25",1025,9,14,5
"26",1026,11,15,5
"27",1027,6,12,5
"28",1028,8,14,5
"29",1029,8,15,3
"30",1030,8,11,5
"31",1031,5,15,2
"32",1032,8,15,4
"33",1033,10,13,5
"34",1034,8,10,5
"35",1035,7,12,5
"36",1036,10,12,5
"37",1037,9,15,5
"38",1038,6,13,5
"39",1039,8,14,5
"40",1040,9,11,5
"41",1041,7,11,5
"42",1042,10,15,5
"43",1043,8,15,5
"44",1044,13,15,4
"45",1045,5,11,5
"46",1046,9,11,5
"47",1047,8,15,5
"48",1048,7,12,5
"49",1049,7,10,5
"50",1050,5,15,4
"51",1051,8,15,4
"52",1052,10,15,4
"53",1053,7,13,5
"54",1054,12,14,5
"55",1055,7,15,5
"56",1056,14,15,5
"57",1057,8,15,4
"58",1058,8,15,3
"59",1300,11,15,5
"60",1301,9,11,5
"61",1302,7,15,5
"62",1303,10,13,5
"63",1304,11,15,5
"64",1305,7,15,4
"65",1306,6,15,3
"66",1307,6,15,3
"67",1308,11,15,5
"68",1309,11,15,4
"69",1310,5,12,5
"70",1311,9,13,5
"71",1312,5,10,5
"72",500,7,10,5
"73",501,13,15,5
"74",502,4,11,5
"75",503,9,12,5
"76",504,4,7,5
"77",505,8,14,5
"78",506,11,14,5
"79",507,14,15,5
"80",508,8,12,5
"81",509,4,12,5
"82",510,7,11,5
"83",511,7,15,4
"84",512,9,14,5
"85",513,6,15,2
"86",514,9,15,3
"87",515,9,12,5
"88",516,10,15,5
"89",517,13,15,4
"90",518,5,15,4
"91",519,7,15,5
"92",520,8,15,3
"93",521,8,13,5
"94",522,13,15,5
"95",523,12,15,5
"96",524,8,14,5
"97",525,7,12,5
"98",526,10,15,4
"99",527,5,15,4
"100",528,13,15,5
"101",529,10,12,5
"102",530,12,15,5
"103",531,6,15,1
"104",532,7,15,5
"105",533,12,15,5
"106",534,8,10,5
"107",535,9,15,5
"108",536,9,13,5
"109",537,5,11,5
"110",538,4,15,3
"111",539,6,15,1
"112",540,10,15,3
"113",541,8,15,3
"114",542,11,15,5
"115",543,11,15,5
"116",544,8,10,5
"117",545,8,10,5
"118",546,9,15,4
"119",547,11,15,4
"120",548,6,15,5
"121",549,13,15,4
"122",550,9,15,5
