"","subjectNo","ravensScoreA","ravensScoreB","ravensScoreC","ravenAge","ravenSex","ravenHand","ravenHearing","ravenVision"
"1",500,9,8,7,19,"female","right","No","Corrected to Normal"
"2",501,11,9,11,19,"female","right","No","Corrected to Normal"
"3",502,11,9,9,19,"male","right","No","Normal"
"4",503,10,10,8,18,"female","right","No","Normal"
"5",504,9,9,7,19,"female","right","No","Corrected to Normal"
"6",505,8,7,10,0,"female","right","No","Corrected to Normal"
"7",506,9,10,9,18,"male","right","No","Corrected to Normal"
"8",508,8,8,7,18,"female","left","No","I forgot my glasses."
"9",509,8,8,10,20,"male","right","Yes","Normal"
"10",510,10,9,10,19,"female","right","No","Normal"
"11",511,5,6,5,18,"female","left","No","Corrected to Normal"
"12",512,9,9,9,18,"female","right","No","Normal"
"13",513,8,5,6,18,"female","right","No","Normal"
"14",514,7,8,7,18,"male","right","No","Corrected to Normal"
"15",515,9,9,12,18,"male","right","No","Normal"
"16",516,9,8,7,18,"female","right","No","Normal"
"17",517,10,8,9,18,"male","right","No","Normal"
"18",518,8,7,7,21,"female","right","No","Corrected to Normal"
"19",519,4,1,3,0,"female","right","No","Corrected to Normal"
"20",520,9,9,6,18,"male",NA,"No","Normal"
"21",521,9,8,10,18,"male","left","No","Corrected to Normal"
"22",522,11,11,11,19,"male","right","No","Corrected to Normal"
"23",523,8,9,6,18,"male","right","No","Corrected to Normal"
"24",524,4,1,5,19,"male","right","No","Corrected to Normal"
"25",525,10,9,9,17,"female","right","No","Corrected to Normal"
"26",526,8,8,9,18,"female","right","No","Normal"
"27",527,10,8,6,19,"female","right","No","Corrected to Normal"
"28",528,6,9,7,20,"male","left","No","Normal"
"29",529,8,10,10,21,"male","right","No","Normal"
"30",530,10,10,12,18,"male","right","No","Normal"
"31",700,11,10,11,20,"male","right","No","Normal"
"32",701,8,7,8,18,"female","right","No","Corrected to Normal"
"33",702,9,4,7,18,"male","right","No","Corrected to Normal"
"34",703,8,10,11,18,"male","right","No","Corrected to Normal"
"35",704,10,9,11,19,"female","right","No","Normal"
"36",705,8,8,9,19,"female","right","No","Corrected to Normal"
"37",706,8,8,7,18,"male","right","No","Corrected to Normal"
"38",707,9,10,7,20,"male","right","No","Normal"
"39",708,9,7,10,18,"male","right","No","Corrected to Normal"
"40",709,10,7,9,18,"female","right","No","I forgot my glasses."
"41",710,7,10,7,19,"male","right","No","Corrected to Normal"
"42",1001,8,9,11,0,"female","right","No","Corrected to Normal"
"43",1002,6,9,9,18,"female","left","No","Normal"
"44",1003,9,10,11,20,"male","right","No","Normal"
"45",1004,9,12,9,20,"male","right","No","Normal"
"46",1005,11,6,10,18,"female","right","No","Normal"
"47",1006,9,9,8,18,"female","right","No","Normal"
"48",1007,6,6,8,18,"male","right","No","Corrected to Normal"
"49",1008,9,9,6,20,"female","right","No","Corrected to Normal"
"50",1009,9,6,8,20,"male","right","No","Normal"
"51",1010,11,9,10,21,"female","right","No","Corrected to Normal"
"52",1011,10,9,10,18,"female","right","No","Normal"
"53",1012,11,9,7,19,"female","right","No","Normal"
"54",1013,10,9,8,18,"female","right","No","Normal"
"55",1014,8,8,7,19,"female","right","No","Corrected to Normal"
"56",1015,10,8,9,19,"female","right","No","Normal"
"57",1016,4,6,5,20,"female","right","No","Corrected to Normal"
"58",1017,8,8,8,22,"male","right","No","Corrected to Normal"
"59",1018,7,8,8,19,"female","right","No","Corrected to Normal"
"60",1019,9,9,7,20,"female","left","No","Corrected to Normal"
"61",1020,7,8,5,20,"female","right","No","Normal"
"62",1021,6,9,5,19,"female","right","No","Corrected to Normal"
"63",1022,10,11,12,18,"female","right","No","Corrected to Normal"
"64",1023,8,8,9,19,"female","right","No","Corrected to Normal"
"65",1024,8,9,7,21,"male","right","No","Corrected to Normal"
"66",1025,4,7,5,19,"female","right","No","Normal"
"67",1028,7,9,5,19,"female","right","No","Normal"
"68",1029,4,7,8,20,"female","right","No","Corrected to Normal"
"69",1030,9,9,9,18,"female","right","No","Corrected to Normal"
"70",1031,8,5,5,20,"female","right","No","Normal"
"71",1032,6,5,4,18,"female","right","No","Corrected to Normal"
"72",1033,6,9,10,19,"male","right","No","Corrected to Normal"
"73",1034,8,9,9,21,"female","right","No","Normal"
"74",1035,10,9,8,18,"female","right","No","Normal"
"75",1036,11,8,12,19,"male","right","No","Normal"
"76",1037,8,7,5,18,"female","right","No","Corrected to Normal"
"77",1038,6,9,7,19,"female","right","No","Corrected to Normal"
"78",1039,10,8,7,19,"female","right","No","Normal"
"79",1040,9,8,8,20,"female","right","No","Corrected to Normal"
"80",1041,9,8,7,18,"male","right","No","Normal"
"81",1042,3,6,7,19,"female","right","No","Normal"
"82",1043,9,9,9,19,"female","right","No","Normal"
"83",1044,8,7,6,20,"male","right","No","Corrected to Normal"
"84",1045,10,10,8,20,"female","right","No","Corrected to Normal"
"85",1046,11,10,9,18,"female","left","No","Normal"
"86",1047,9,9,11,21,"female","right","No","Normal"
"87",1048,10,7,7,18,"female","right","No","Corrected to Normal"
"88",1049,10,7,5,18,"male","left","No","Normal"
"89",1050,8,6,7,20,"female","right","No","Corrected to Normal"
"90",1051,8,10,8,22,"female","right","No","Corrected to Normal"
"91",1052,9,10,10,19,"male","right","No","Normal"
"92",1053,9,8,8,21,"male","right","No","Normal"
"93",1054,8,8,5,18,"female","right","No","Normal"
"94",1055,9,9,6,20,"female","right","No","Normal"
"95",1056,9,10,9,21,"male","right","No","Normal"
