"","subjectNo","symErrorTotal","symAccErrorTotal","symSpeedErorTotal","symSspanscore","symSspanTotal","symSspanPartialScore","symSspanPartialScoreBlock1","symSspanPartialScoreBlock2","symSspanPartialScoreBlock3","symSspanAbsoluteScore","symSymmetryCorrect"
"1",1001,1,1,0,NA,NA,37,14,10,13,30,47
"2",1002,4,4,0,NA,NA,36,12,12,12,23,42
"3",1003,0,0,0,NA,NA,32,12,7,13,22,48
"4",1004,1,0,1,NA,NA,37,13,12,12,28,47
"5",1005,0,0,0,NA,NA,36,12,10,14,29,48
"6",1006,7,1,6,NA,NA,28,10,8,10,9,40
"7",1007,4,4,0,NA,NA,26,11,6,9,22,44
"8",1008,1,1,0,NA,NA,34,13,12,9,28,47
"9",1009,4,4,0,NA,NA,25,8,11,6,17,43
"10",1010,1,0,1,NA,NA,41,13,14,14,37,46
"11",1011,2,2,0,NA,NA,26,13,7,6,17,46
"12",1012,1,1,0,NA,NA,24,10,6,8,12,46
"13",1013,3,3,0,NA,NA,38,14,14,10,37,45
"14",1014,3,3,0,NA,NA,21,6,6,9,7,45
"15",1015,3,2,1,NA,NA,32,13,11,8,22,44
"16",1016,3,2,1,NA,NA,20,8,9,3,8,44
"17",1017,2,1,1,NA,NA,28,11,9,8,12,46
"18",1018,1,1,0,NA,NA,29,9,10,10,14,44
"19",1019,3,1,2,NA,NA,19,6,9,4,7,45
"20",1020,4,3,1,NA,NA,26,9,11,6,20,42
"21",1021,5,4,1,NA,NA,19,7,6,6,4,43
"22",1022,0,0,0,NA,NA,33,14,8,11,22,47
"23",1023,3,3,0,NA,NA,22,8,8,6,13,45
"24",1024,3,1,2,NA,NA,32,9,13,10,22,44
"25",1025,0,0,0,NA,NA,24,10,6,8,12,48
"26",1026,3,2,1,NA,NA,18,5,7,6,7,44
"27",1027,3,2,1,NA,NA,17,3,7,7,6,45
"28",1028,2,2,0,NA,NA,25,8,6,11,12,46
"29",1029,2,1,1,NA,NA,16,3,5,8,7,45
"30",1030,4,4,0,NA,NA,23,6,11,6,16,42
"31",1031,2,2,0,NA,NA,9,4,3,2,2,45
"32",1032,6,4,2,NA,NA,25,9,8,8,7,41
"33",1033,1,1,0,NA,NA,36,14,11,11,30,47
"34",1034,3,3,0,NA,NA,24,9,7,8,14,44
"35",1035,0,0,0,NA,NA,33,10,13,10,28,48
"36",1036,1,1,0,NA,NA,31,10,10,11,23,47
"37",1037,1,1,0,NA,NA,25,9,5,11,9,47
"38",1038,6,2,4,NA,NA,30,9,10,11,12,41
"39",1039,1,1,0,NA,NA,38,13,11,14,28,46
"40",1040,1,1,0,NA,NA,31,7,12,12,19,47
"41",1041,8,6,2,NA,NA,27,12,5,10,11,38
"42",1042,1,1,0,NA,NA,37,12,13,12,29,47
"43",1043,2,1,1,NA,NA,28,9,9,10,16,44
"44",1044,2,1,1,NA,NA,22,4,8,10,15,46
"45",1045,4,3,1,NA,NA,16,4,4,8,7,42
"46",1046,6,5,1,NA,NA,30,11,8,11,16,41
"47",1047,1,1,0,NA,NA,32,10,10,12,27,47
"48",1048,1,1,0,NA,NA,29,9,8,12,18,46
"49",1049,2,2,0,NA,NA,28,7,11,10,13,46
"50",1050,5,2,3,NA,NA,18,6,9,3,8,43
"51",1051,5,5,0,NA,NA,33,10,12,11,17,43
"52",1052,1,1,0,NA,NA,40,13,13,14,35,47
"53",1053,1,1,0,NA,NA,20,6,7,7,7,47
"54",1054,2,2,0,NA,NA,31,11,10,10,25,45
"55",1055,1,1,0,NA,NA,25,7,9,9,15,47
"56",1056,0,0,0,NA,NA,30,10,9,11,17,47
"57",1057,13,13,0,NA,NA,11,6,3,2,4,34
"58",1058,2,2,0,NA,NA,22,7,6,9,7,46
"59",1300,1,1,0,NA,NA,40,13,14,13,35,47
"60",1301,5,4,1,NA,NA,39,12,13,14,32,43
"61",1302,6,5,1,NA,NA,24,7,11,6,9,41
"62",1303,2,2,0,NA,NA,36,12,14,10,29,46
"63",1304,2,2,0,NA,NA,34,11,13,10,17,46
"64",1305,5,5,0,NA,NA,29,6,12,11,19,42
"65",1306,9,8,1,NA,NA,26,4,9,13,15,36
"66",1307,1,1,0,NA,NA,30,10,9,11,20,47
"67",1308,3,2,1,NA,NA,39,13,13,13,29,45
"68",1309,1,1,0,NA,NA,38,13,11,14,35,47
"69",1310,1,1,0,NA,NA,33,10,14,9,24,47
"70",1311,3,1,2,NA,NA,31,11,11,9,23,39
"71",1312,1,1,0,NA,NA,38,14,10,14,37,47
"72",500,6,3,3,NA,NA,25,9,8,8,17,42
"73",501,1,1,0,NA,NA,29,10,12,7,22,47
"74",502,2,2,0,NA,NA,28,10,10,8,20,46
"75",503,5,4,1,NA,NA,26,11,7,8,10,42
"76",504,3,2,1,NA,NA,25,10,7,8,11,45
"77",505,0,0,0,NA,NA,14,3,3,8,3,48
"78",506,1,1,0,NA,NA,36,14,9,13,28,47
"79",507,1,1,0,NA,NA,32,13,10,9,23,47
"80",508,0,0,0,NA,NA,35,8,13,14,29,48
"81",509,4,1,3,NA,NA,35,12,10,13,20,43
"82",510,2,2,0,NA,NA,26,11,6,9,17,46
"83",511,3,2,1,NA,NA,21,6,8,7,10,45
"84",512,5,3,2,NA,NA,28,12,10,6,20,43
"85",513,1,0,1,NA,NA,39,12,13,14,30,47
"86",514,0,0,0,NA,NA,38,12,12,14,33,47
"87",515,1,0,1,NA,NA,35,10,14,11,32,47
"88",516,6,2,4,NA,NA,12,5,3,4,9,42
"89",517,1,1,0,NA,NA,36,11,13,12,28,46
"90",518,2,1,1,NA,NA,34,12,14,8,28,46
"91",519,1,1,0,NA,NA,32,9,12,11,23,47
"92",520,2,2,0,NA,NA,30,13,11,6,19,46
"93",521,0,0,0,NA,NA,33,12,12,9,25,48
"94",522,0,0,0,NA,NA,41,13,14,14,38,47
"95",523,4,4,0,NA,NA,31,7,12,12,20,43
"96",524,7,3,4,NA,NA,17,4,6,7,11,35
"97",525,3,3,0,NA,NA,39,13,12,14,32,45
"98",526,2,2,0,NA,NA,35,12,11,12,22,46
"99",527,1,0,1,NA,NA,28,8,12,8,19,47
"100",528,4,0,4,NA,NA,40,14,12,14,33,42
"101",529,0,0,0,NA,NA,31,13,12,6,24,47
"102",530,4,3,1,NA,NA,32,11,9,12,21,44
"103",531,3,1,2,NA,NA,37,11,13,13,28,45
"104",532,0,0,0,NA,NA,22,6,9,7,11,48
"105",533,1,1,0,NA,NA,38,14,12,12,36,47
"106",534,0,0,0,NA,NA,39,11,14,14,33,47
"107",535,1,1,0,NA,NA,21,8,5,8,13,47
"108",536,3,2,1,NA,NA,35,12,13,10,28,45
"109",537,10,10,0,NA,NA,15,6,3,6,0,35
"110",538,2,1,1,NA,NA,28,11,10,7,22,45
