"","subjectNo","tSpanPartialScore","tsMathErrorTotal","tspanPartialBlock1","tspanPartialBlock2","tspanPartialBlock3","tsAccErrorTotal","tsSpeedErrorTotal","tsAbsoluteScore","tsStrats"
"1",1001,47,5,13,17,17,4,1,32,"{SHIFT}Repeat{SPACE}the{SPACE}previous{SPACE}notes{SPACE}between{SPACE}each{SPACE}problem{.}{ENTER}"
"2",1002,64,4,25,19,20,3,1,51,"i{SPACE}just{SPACE}repeated{SPACE}the{SPACE}tones{SPACE}in{SPACE}the{SPACE}order{SPACE}in{SPACE}my{SPACE}head{SPACE}after{SPACE}every{SPACE}math{SPACE}problem{SPACE}from{SPACE}the{SPACE}beginning{.}{SPACE}{ENTER}"
"3",1003,60,4,21,19,20,1,3,26,"{SHIFT}I{SPACE}converted{SPACE}the{SPACE}sounds{SPACE}into{SPACE}numbers{.}{SPACE}{SHIFT}L{=}1{SPACE}{SHIFT}M{=}2{SHIFT}{SPACE}{SHIFT}H{=}3{.}{SPACE}{SHIFT}Then{SPACE}{SHIFT}I{SPACE}kept{SPACE}count{SPACE}on{SPACE}my{SPACE}fingers{SPACE}how{SPACE}many{SPACE}sounds{SPACE}played{.}{SPACE}a{SPACE}repeated{SPACE}the{SPACE}number{SPACE}i{SPACE}would{SPACE}make{SPACE}back{SPACE}to{SPACE}myself{.}{SPACE}1{SPACE}then{SPACE}13{SPACE}then{SPACE}132{SPACE}then132312{LEFTARROW}{LEFTARROW}{LEFTARROW}{LEFTARROW}{RIGHTARROW}{RIGHTARROW}{RIGHTARROW}{RIGHTARROW}{SPACE}{ENTER}"
"4",1004,73,1,24,24,25,1,0,61,"{SHIFT}I{SPACE}used{SPACE}my{SPACE}fingers{SPACE}to{SPACE}count{SPACE}and{SPACE}to{SPACE}remember{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}tones{.}{ENTER}"
"5",1005,50,4,13,16,21,4,0,25,"i{SPACE}tried{SPACE}to{SPACE}keep{SPACE}track{SPACE}of{SPACE}the{SPACE}sounds{SPACE}using{SPACE}my{SPACE}fingers{ENTER}"
"6",1006,65,8,22,20,23,6,2,50,"{SHIFT}I{SPACE}mouthed{SPACE}the{SPACE}word{SPACE}of{SPACE}each{SPACE}tone{SPACE}after{SPACE}{SHIFT}I{SPACE}heard{SPACE}it{SPACE}in{SPACE}order{SPACE}to{SPACE}memorize{SPACE}it{ENTER}"
"7",1007,7,5,1,3,3,5,0,3,"{SHIFT}I{SPACE}could{SPACE}not{SPACE}use{SPACE}any{SPACE}strategies{.}{SPACE}{SHIFT}{SHIFT}{SHIFT}My{SPACE}average{SPACE}math{SPACE}time{SPACE}was{SPACE}too{SPACE}fast{.}{ENTER}"
"8",1008,71,5,23,25,23,4,1,65,"i{SPACE}would{SPACE}constantly{SPACE}repeat{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{ENTER}"
"9",1009,30,6,9,8,13,6,0,8,"constantly{SPACE}repeating{SPACE}to{SPACE}myself{SPACE}{SHIFT}L{SHIFT}{SHIFT}{,}{SPACE}{SHIFT}M{,}{SPACE}{SHIFT}H{SPACE}depending{SPACE}on{SPACE}the{SPACE}order{SPACE}they{SPACE}fell{SPACE}in{SPACE}and{SPACE}then{SPACE}answered{SPACE}those{SPACE}based{SPACE}on{SPACE}that{SPACE}if{SPACE}i{SPACE}could{SPACE}remember{SPACE}them{SPACE}all{ENTER}"
"10",1010,65,5,19,23,23,4,1,49,"{SHIFT}I{SPACE}used{SPACE}the{SPACE}1st{,}{SPACE}3rd{,}{SPACE}and{SPACE}5th{SPACE}finger{SPACE}of{SPACE}my{SPACE}left{SPACE}hand{SPACE}and{SPACE}designated{SPACE}each{SPACE}as{SPACE}{SHIFT}L{SPACE}{SHIFT}M{SPACE}or{SPACE}{SHIFT}H{SPACE}and{SPACE}repeated{SPACE}the{SPACE}pattern{SPACE}after{SPACE}each{SPACE}math{SPACE}problem{,}{SPACE}while{SPACE}adding{SPACE}the{SPACE}most{SPACE}recent{SPACE}tone{ENTER}"
