Participant Number,Semester Run,Source,Paid,Doubler,BLUE,YELLOW
500,Fall,Musician,No,SINGLER,NO,NO
501,Fall,Musician ,No,SINGLER,NO,NO
502,Fall,Musician ,No,SINGLER,NO,NO
503,Fall,Musician ,No,SINGLER,NO,NO
504,Fall,Musician ,No,SINGLER,NO,NO
505,Fall,Musician ,No,SINGLER,NO,NO
506,Fall,Musician ,No,SINGLER,NO,NO
507,Fall,Musician ,No,SINGLER,NO,NO
508,Fall,Musician ,No,SINGLER,NO,NO
509,Fall,Musician ,No,SINGLER,NO,NO
510,Fall,Musician ,No,SINGLER,NO,NO
511,Fall,Musician ,No,SINGLER,NO,NO
512,Fall,Musician ,No,SINGLER,NO,NO
513,Fall,Musician ,No,SINGLER,NO,NO
514,Fall,Musician ,No,SINGLER,NO,NO
515,Fall,Musician ,No,SINGLER,NO,NO
516,Fall,Musician ,No,SINGLER,NO,NO
517,Fall,Musician ,No,SINGLER,NO,NO
518,Fall,Musician ,No,SINGLER,NO,NO
519,Fall,Musician ,No,SINGLER,NO,NO
520,Fall,Musician ,No,SINGLER,NO,NO
521,Fall,Musician ,No,SINGLER,NO,NO
522,Fall,Musician ,No,SINGLER,NO,NO
523,Fall,Musician ,No,SINGLER,NO,NO
524,Fall,Musician ,No,SINGLER,NO,NO
525,Fall,Musician ,No,SINGLER,NO,NO
526,Fall,Musician ,No,SINGLER,NO,NO
527,Fall,Musician ,No,SINGLER,NO,NO
528,Fall,Musician ,No,SINGLER,NO,NO
529,Fall,Musician ,No,SINGLER,NO,NO
530,Fall,Musician ,No,SINGLER,NO,NO
531,Fall,Musician ,No,SINGLER,NO,NO
532,Fall,Musician ,No,SINGLER,NO,NO
533,Fall,Musician ,No,SINGLER,NO,NO
534,Fall,Musician ,No,SINGLER,NO,NO
535,Fall,Musician ,No,SINGLER,NO,NO
536,Fall,Musician ,No,SINGLER,NO,NO
537,Fall,Musician ,No,SINGLER,NO,NO
538,Fall,Musician ,No,SINGLER,NO,NO
539,Fall,Musician ,No,SINGLER,NO,NO
540,Fall,Musician ,No,SINGLER,NO,NO
541,Fall,Musician ,No,SINGLER,NO,NO
542,Fall,Musician ,No,SINGLER,NO,NO
543,Fall,Musician ,No,SINGLER,NO,NO
544,Fall,Musician ,No,SINGLER,NO,NO
545,Fall,Musician ,No,SINGLER,NO,NO
546,Fall,Musician ,No,SINGLER,NO,NO
547,Fall,Musician ,No,SINGLER,NO,NO
548,Fall,Musician ,No,SINGLER,NO,NO
549,Fall,Musician ,No,SINGLER,NO,NO
550,Fall,Musician ,No,SINGLER,NO,NO
551,Fall,Musician ,No,SINGLER,NO,NO
552,Fall,Musician ,No,SINGLER,NO,NO
553,Fall,Musician ,No,SINGLER,NO,NO
554,Fall,Musician ,No,SINGLER,NO,NO
555,Fall,Musician ,No,SINGLER,NO,NO
556,Fall,Musician ,No,SINGLER,NO,NO
700,Fall,Musician,No,SINGLER,NO,NO
701,Fall,Musician,No,SINGLER,NO,NO
702,Fall,Musician,No,SINGLER,NO,NO
703,Fall,Musician,No,SINGLER,NO,NO
704,Fall,Musician,No,SINGLER,NO,NO
705,Fall,Musician,No,SINGLER,NO,NO
706,Fall,Musician,No,SINGLER,NO,NO
707,Fall,Musician,No,SINGLER,NO,NO
708,Fall,Musician,No,SINGLER,NO,NO
709,Fall,Musician,No,SINGLER,NO,NO
710,Fall,Musician,No,SINGLER,NO,NO
711,Fall,Musician,No,SINGLER,NO,NO
712,Fall,Musician,No,SINGLER,NO,NO
713,Fall,Musician,No,SINGLER,NO,NO
714,Fall,Musician,No,SINGLER,NO,NO
715,Fall,Musician,No,SINGLER,NO,NO
716,Fall,Musician,No,SINGLER,NO,NO
717,Fall,Musician,No,SINGLER,NO,NO
718,Fall,Musician,No,SINGLER,NO,NO
719,Fall,Musician,No,SINGLER,NO,NO
720,Fall,Musician,No,SINGLER,NO,NO
721,Fall,Musician,No,SINGLER,NO,NO
722,Fall,Musician,No,SINGLER,NO,NO
723,Fall,Musician,No,SINGLER,NO,NO
724,Spring,Musician,Yes,DOUBLER,NO,NO
725,Spring,Musician,Yes,SINGLER,NO,NO
726,Spring,Musician,Yes,SINGLER,NO,NO
727,Spring,Musician,Yes,SINGLER,NO,NO
728,Spring,Musician,Yes,SINGLER,NO,NO
729,Spring,Musician,Yes,SINGLER,NO,NO
730,Spring,Musician,Yes,SINGLER,NO,NO
731,Spring,Musician,Yes,DOUBLER,NO,NO
732,Spring,Musician,Yes,DOUBLER,NO,NO
733,Spring,Musician,Yes,SINGLER,NO,NO
734,Spring,Musician,Yes,SINGLER,NO,NO
735,Spring,Musician,No,DOUBLER,NO,NO
736,Spring,Musician,No,DOUBLER,NO,NO
737,Spring,Musician,No,SINGLER,NO,NO
738,Spring,Sona,No,SINGLER,YES,NO
739,Spring,Musician,No,SINGLER,NO,NO
740,Spring,Musician,Yes,SINGLER,NO,NO
741,Spring,Musician ,Yes,SINGLER,NO,NO
742,Spring,Musician,Yes,SINGLER,NO,NO
900,Fall,Lab Volunteer,No,SINGLER,NO,NO
901,Fall,Lab Volunteer/Sona,No,SINGLER,NO,NO
902,Fall,Lab Volunteer,No,SINGLER,NO,NO
903,Fall,Sona,No,SINGLER,NO,NO
904,Fall,Sona,No,SINGLER,NO,NO
905,Fall,Sona,No,SINGLER,NO,NO
906,Fall,Sona,No,SINGLER,NO,NO
907,Fall,Sona,No,SINGLER,NO,NO
908,Fall,Sona,No,SINGLER,NO,NO
909,Fall,Sona,No,SINGLER,NO,NO
910,Fall,Sona,No,SINGLER,NO,NO
911,Fall,Sona,No,SINGLER,NO,NO
912,Fall,Sona,No,SINGLER,NO,NO
913,Fall,Sona,No,SINGLER,NO,NO
914,Fall,Sona,No,SINGLER,NO,NO
915,Fall,Sona,No,SINGLER,NO,NO
916,Fall,Sona,No,SINGLER,NO,NO
917,Spring,Lab Volunteer,No,SINGLER,NO,NO
918,Spring,Lab Volunteer ,No,SINGLER,NO,NO
919,Spring,Sona,No,SINGLER,NO,NO
920,Spring,Sona,No,SINGLER,NO,NO
921,Spring,Sona,No,SINGLER,NO,NO
922,Spring,Sona,No,SINGLER,NO,NO
923,Spring,Sona,No,SINGLER,NO,NO
924,Spring,Sona,No,SINGLER,NO,NO
925,Spring,Sona,No,SINGLER,NO,NO
926,Spring,Sona,No,SINGLER,NO,NO
927,Spring,Sona,No,SINGLER,NO,NO
928,Spring,Sona,No,SINGLER,NO,NO
929,Spring,Sona,No,SINGLER,NO,NO
930,Spring,Sona,No,SINGLER,NO,NO
931,Spring,Sona,No,SINGLER,NO,NO
932,Spring,Sona,No,SINGLER,NO,NO
933,Spring,Sona,No,SINGLER,NO,NO
934,Spring,Sona,No,SINGLER,NO,NO
935,Spring,Sona,No,SINGLER,NO,NO
936,Spring,Sona,No,SINGLER,NO,NO
937,Spring,Sona,No,SINGLER,NO,NO
938,Spring,Sona,No,SINGLER,NO,NO
939,Spring,Sona,No,SINGLER,NO,NO
940,Spring,Sona,No,SINGLER,NO,NO
941,Spring,Sona,No,SINGLER,NO,NO
942,Spring,Sona,No,SINGLER,NO,NO
943,Spring,Sona,No,SINGLER,NO,NO
944,Spring,Sona,No,SINGLER,NO,NO
945,Spring,Sona,No,SINGLER,NO,NO
946,Spring,Sona,No,SINGLER,NO,NO
947,Spring,Sona,No,SINGLER,NO,NO
948,Spring,Sona,No,SINGLER,NO,NO
949,Spring,Sona,No,SINGLER,NO,NO
950,Spring,Sona,No,SINGLER,NO,NO
951,Spring,Sona,No,SINGLER,NO,NO
952,Spring,Sona,No,SINGLER,NO,NO
953,Spring,Sona,No,SINGLER,NO,NO
954,Spring,Sona,No,SINGLER,NO,NO
955,Spring,Sona,No,SINGLER,NO,NO
956,Spring,Sona,No,SINGLER,NO,NO
957,Spring,Sona,No,SINGLER,NO,NO
958,Spring,Sona,No,SINGLER,NO,NO
959,Spring,Sona,No,SINGLER,NO,NO
960,Spring,Sona,No,SINGLER,NO,NO
961,Spring,Sona,No,SINGLER,NO,NO
962,Spring,Sona,No,SINGLER,NO,NO
963,Spring,Sona,No,SINGLER,NO,NO
964,Spring,Sona,No,SINGLER,NO,NO
965,Spring,Sona,No,SINGLER,NO,NO
966,Spring,Sona,No,SINGLER,NO,NO
967,Spring,Sona,No,SINGLER,NO,NO
968,Spring,Sona,No,SINGLER,NO,NO
969,Spring,Sona,No,SINGLER,NO,NO
970,Spring,Sona,No,SINGLER,NO,NO
971,Spring,Sona,No,SINGLER,NO,NO
972,Spring,Sona,No,SINGLER,NO,NO
973,Spring,Sona,No,SINGLER,NO,NO
974,Spring,Sona,No,SINGLER,NO,NO
975,Spring,Sona,No,SINGLER,NO,NO
976,Spring,Sona,No,SINGLER,NO,NO
977,Spring,Sona,No,SINGLER,NO,NO
978,Spring,Sona,No,SINGLER,NO,NO
979,Spring,Sona,No,SINGLER,NO,NO
980,Spring,Sona,No,SINGLER,NO,NO
981,Spring,Sona,No,SINGLER,NO,NO
982,Spring,Sona,No,SINGLER,NO,NO
983,Spring,Sona,No,SINGLER,NO,NO
984,Spring,Sona,No,SINGLER,NO,NO
985,Spring,Sona,No,SINGLER,NO,NO
986,Spring,Sona,No,SINGLER,NO,NO
987,Spring,Sona,No,SINGLER,NO,NO
988,Spring,Musician,No,SINGLER,NO,YES
1001,Fall,Sona,No,SINGLER,NO,NO
1002,Fall,Sona,No,SINGLER,NO,NO
1003,Fall,Sona,No,SINGLER,NO,NO
1004,Fall,Sona,No,SINGLER,NO,NO
1005,Fall,Sona,No,SINGLER,NO,NO
1006,Fall,Sona,No,SINGLER,NO,NO
1007,Fall,Sona,No,SINGLER,NO,NO
1008,Fall,Sona,No,SINGLER,NO,NO
1009,Fall,Sona,No,SINGLER,NO,NO
1010,Fall,Sona,No,SINGLER,NO,NO
1011,Fall,Sona,No,SINGLER,NO,NO
1012,Fall,Sona,No,SINGLER,NO,NO
1013,Fall,Sona,No,SINGLER,NO,NO
1014,Fall,Sona,No,SINGLER,NO,NO
1015,Fall,Sona,No,SINGLER,NO,NO
1016,Fall,Sona,No,SINGLER,NO,NO
1017,Fall,Sona,No,SINGLER,NO,NO
1018,Fall,Sona,No,SINGLER,NO,NO
1019,Fall,Sona,No,SINGLER,NO,NO
1020,Fall,Sona,No,SINGLER,NO,NO
1021,Fall,Sona,No,SINGLER,NO,NO
1022,Fall,Sona,No,SINGLER,NO,NO
1023,Spring,Sona,No,SINGLER,NO,NO
1024,Spring,Sona,No,SINGLER,NO,NO
1025,Spring,Sona,No,SINGLER,NO,NO
1026,Spring,Sona,No,SINGLER,NO,NO
1027,Spring,Sona,No,SINGLER,NO,NO
1028,Spring,Sona,No,SINGLER,NO,NO
1029,Spring,Sona,No,SINGLER,NO,NO
1030,Spring,Sona,No,SINGLER,NO,NO
1031,Spring,Sona,No,SINGLER,NO,NO
1032,Spring,Sona,No,SINGLER,NO,NO
1033,Spring,Sona,No,SINGLER,NO,NO
