subjectNo,MelodicMemory
500,8
501,7
502,8
503,10
504,10
505,5
506,8
507,6
508,7
509,12
510,10
511,9
512,4
513,10
514,9
515,9
516,9
517,10
518,8
519,11
520,6
521,10
522,8
523,9
524,10
525,4
526,8
527,8
528,9
529,10
530,9
531,6
532,10
533,10
534,8
535,11
536,10
537,11
538,7
539,9
540,6
541,7
542,11
543,10
544,9
545,7
546,9
547,7
548,10
549,11
550,7
551,6
552,13
553,8
554,9
555,8
556,
700,9
701,11
702,8
703,11
704,8
705,10
706,7
707,10
708,10
709,10
710,7
711,7
712,10
713,10
714,10
715,9
716,11
717,8
718,10
719,5
720,11
721,10
722,11
723,10
724,10
725,10
726,7
727,12
728,8
729,11
730,8
731,8
732,10
733,5
734,12
735,10
736,9
737,9
738,8
739,11
740,10
741,10
742,9
900,11
901,8
902,12
903,11
904,8
905,9
906,10
907,10
908,9
909,9
910,7
911,8
912,6
913,7
914,11
915,8
916,8
917,6
918,7
919,9
920,11
921,9
922,8
923,10
924,7
925,10
926,9
927,8
928,7
929,7
930,10
931,7
932,7
933,5
934,6
935,10
936,6
937,7
938,8
939,7
940,5
941,10
942,7
943,8
944,7
945,10
946,10
947,4
948,6
949,7
950,10
951,7
952,8
953,9
954,5
955,10
956,9
957,9
958,11
959,6
960,10
961,6
962,9
963,11
964,10
965,8
966,12
967,9
968,7
969,9
970,7
971,10
972,8
973,4
974,7
975,9
976,10
977,10
978,5
979,6
980,10
981,6
982,9
983,9
984,8
985,8
986,6
987,9
988,8
1001,6
1002,4
1003,7
1004,6
1005,8
1006,7
1007,10
1008,9
1009,6
1010,5
1011,7
1012,10
1013,7
1014,8
1015,10
1016,5
1017,7
1018,8
1019,11
1020,10
1021,6
1022,9
1023,4
1024,8
1025,6
1026,9
1027,9
1028,11
1029,6
1030,10
1031,8
1032,9
1033,11
1034,12
1035,7
1036,8
1037,8
1038,8
1039,8
1040,13
1041,7
1042,9
1043,9
1044,9
1045,6
1046,11
1047,10
1048,10
1049,8
1050,12
1051,6
1052,10
1053,8
1054,8
1055,11
1056,8
1057,10
1058,7
1300,8
1301,10
1302,10
1303,10
1304,9
1305,6
1306,8
1307,12
1308,11
1309,10
1310,11
1311,8
1312,12
