NumberAttempted,NumberTotalScore,NumberTotalTime,subjectNo
10,7,5,500
15,13,5,501
11,4,5,502
12,9,5,503
7,4,5,504
14,8,5,505
14,11,5,506
15,14,5,507
12,8,5,508
12,4,5,509
11,7,5,510
15,7,4,511
14,9,5,512
15,6,2,513
15,9,3,514
12,9,5,515
15,10,5,516
15,13,4,517
15,5,4,518
15,7,5,519
15,8,3,520
13,8,5,521
15,13,5,522
15,12,5,523
14,8,5,524
12,7,5,525
15,10,4,526
15,5,4,527
15,13,5,528
12,10,5,529
15,12,5,530
15,6,1,531
15,7,5,532
15,12,5,533
10,8,5,534
15,9,5,535
13,9,5,536
11,5,5,537
15,4,3,538
15,6,1,539
15,10,3,540
15,8,3,541
15,11,5,542
15,11,5,543
10,8,5,544
10,8,5,545
15,9,4,546
15,11,4,547
15,6,5,548
15,13,4,549
15,9,5,550
14,11,5,551
13,11,5,552
13,8,5,553
15,13,5,554
13,9,5,555
 , , ,556
15,14,5,700
14,10,5,701
15,11,5,702
15,12,5,703
10,7,5,704
14,10,5,705
15,10,3,706
14,8,5,707
13,11,5,708
14,11,5,709
12,8,5,710
13,10,5,711
13,9,5,712
15,7,5,713
15,12,4,714
15,10,5,715
11,7,5,716
14,8,5,717
11,9,5,718
15,13,5,719
13,10,5,720
15,8,3,721
15,14,5,722
11,8,5,723
15,8,5,724
12,10,5,725
11,7,5,726
14,11,5,727
11,9,5,728
11,8,5,729
10,8,5,730
13,10,5,731
14,11,5,732
10,7,5,733
15,13,4,734
10,6,5,735
15,8,5,736
15,10,3,737
11,7,5,738
10,6,5,739
15,11,4,740
15,13,5,741
15,14,4,742
15,9,4,900
15,8,3,901
15,9,3,902
13,10,5,903
15,4,4,904
15,3,2,905
15,4,2,906
8,6,5,907
15,11,5,908
10,8,5,909
15,7,2,910
15,5,3,911
12,8,5,912
15,11,4,913
15,13,3,914
15,10,4,915
14,9,5,916
14,11,5,917
15,9,5,918
15,4,3,919
9,7,5,920
15,11,5,921
14,12,5,922
15,9,5,923
15,15,4,924
15,9,4,925
15,10,4,926
15,8,3,927
9,6,5,928
15,12,5,929
14,8,5,930
15,4,2,931
15,4,5,932
13,4,5,933
15,6,3,934
9,6,5,935
13,9,5,936
11,7,5,937
14,4,5,938
15,6,4,939
15,7,5,940
15,6,3,941
15,6,2,942
15,10,3,943
15,6,1,944
13,8,5,945
15,6,5,946
15,9,4,947
12,6,5,948
15,8,4,949
15,4,2,950
15,7,3,951
15,9,4,952
13,6,5,953
15,11,4,954
15,2,2,955
15,12,5,956
15,12,4,957
11,8,5,958
15,8,4,959
15,10,5,960
15,5,1,961
14,6,5,962
15,13,5,963
12,7,5,964
12,7,5,965
12,11,5,966
15,5,3,967
15,12,5,968
10,7,5,969
15,6,2,970
15,7,5,971
10,8,5,972
15,10,4,973
15,8,3,974
15,10,5,975
15,2,2,976
10,8,5,977
15,12,5,978
14,8,5,979
15,13,5,980
13,11,5,981
15,10,5,982
15,5,3,983
11,5,5,984
15,8,5,985
12,6,5,986
15,8,5,987
15,10,5,988
11,7,5,1001
15,11,5,1002
14,11,5,1003
13,8,5,1004
12,10,5,1005
13,10,5,1006
15,12,5,1007
14,8,5,1008
14,12,5,1009
15,13,5,1010
15,9,5,1011
15,8,5,1012
12,9,5,1013
15,11,5,1014
12,7,5,1015
15,2,1,1016
15,10,4,1017
15,13,5,1018
11,8,5,1019
13,7,5,1020
15,5,4,1021
13,10,5,1022
11,4,5,1023
15,10,5,1024
14,9,5,1025
15,11,5,1026
12,6,5,1027
14,8,5,1028
15,8,3,1029
11,8,5,1030
15,5,2,1031
15,8,4,1032
13,10,5,1033
10,8,5,1034
12,7,5,1035
12,10,5,1036
15,9,5,1037
13,6,5,1038
14,8,5,1039
11,9,5,1040
11,7,5,1041
15,10,5,1042
15,8,5,1043
15,13,4,1044
11,5,5,1045
11,9,5,1046
15,8,5,1047
12,7,5,1048
10,7,5,1049
15,5,4,1050
15,8,4,1051
15,10,4,1052
13,7,5,1053
14,12,5,1054
15,7,5,1055
15,14,5,1056
15,8,4,1057
15,8,3,1058
15,11,5,1300
11,9,5,1301
15,7,5,1302
13,10,5,1303
15,11,5,1304
15,7,4,1305
15,6,3,1306
15,6,3,1307
15,11,5,1308
15,11,4,1309
12,5,5,1310
13,9,5,1311
10,5,5,1312
