subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal,NumberAttempted,NumberTotalScore,NumberTotalTime,,,RavensBlock1,RavensBlock2,RavensBlock3,Ravens Block4,,BeatPerception,,MelodicMemory
500,6,7,62,72,24,25,23,1,3,5,63,69,20,25,24,2,3,3,17,25,9,8,8,6,10,7,5,500,500,9,8,7,24,500,14,500,8
501,2,2,41,57,17,19,21,0,1,2,49,64,18,23,23,1,1,0,22,29,10,12,7,1,15,13,5,501,501,11,9,11,31,501,15,501,7
502,2,3,48,65,22,19,24,1,3,3,63,68,18,25,25,0,2,0,20,28,10,10,8,2,11,4,5,502,502,11,9,9,29,502,16,502,8
503,0,4,46,64,25,18,21,4,1,3,27,50,12,21,17,2,4,1,10,26,11,7,8,5,12,9,5,503,503,10,10,8,28,503,15,503,10
504,9,12,62,73,24,25,24,3,12,12,38,63,22,23,18,0,2,1,11,25,10,7,8,3,7,4,5,504,504,9,9,7,25,504,12,504,10
505,1,1,3,15,4,9,2,0,4,7,21,26,15,10,1,3,0,0,3,14,3,3,8,0,14,8,5,505,505,8,7,10,25,505,9,505,5
506,6,6,51,59,16,25,18,0,6,9,43,64,21,21,22,3,1,0,28,36,14,9,13,1,14,11,5,506,506,9,10,9,28,506,15,506,8
507,2,2,62,71,25,25,21,0,3,8,60,68,25,20,23,5,1,0,23,32,13,10,9,1,15,14,5,507,507,9,9,10,28,507,7,507,6
508,4,5,28,56,21,19,16,1,3,7,55,62,17,25,20,4,0,0,29,35,8,13,14,0,12,8,5,508,508,8,8,7,23,508,14,508,7
509,7,7,45,63,18,22,23,0,4,5,65,71,21,25,25,1,1,3,20,35,12,10,13,4,12,4,5,509,509,8,8,10,26,509,14,509,12
