"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"3198","32","text","0","3198","0.0-0.0","1052",""
"191569","32","text","1","195770","0.0-1.0","1052",""
"7435","32","text","2","204206","0.0-2.0","1052",""
"58086","","survey-likert","3","263315","0.0-3.0","1052","{""Q0"":""2"",""Q1"":""4"",""Q2"":""1"",""Q3"":""1"",""Q4"":""4"",""Q5"":""5"",""Q6"":""2"",""Q7"":""2"",""Q8"":""1"",""Q9"":""4""}"
"69714","","survey-likert","4","334045","0.0-4.0","1052","{""Q0"":""2"",""Q1"":""4"",""Q2"":""1"",""Q3"":""2"",""Q4"":""4"",""Q5"":""5"",""Q6"":""2"",""Q7"":""5"",""Q8"":""2"",""Q9"":""5""}"
"71875","","survey-likert","5","406935","0.0-5.0","1052","{""Q0"":""6"",""Q1"":""4"",""Q2"":""2"",""Q3"":""0"",""Q4"":""4"",""Q5"":""5"",""Q6"":""6"",""Q7"":""2"",""Q8"":""2"",""Q9"":""1"",""Q10"":""5""}"
"62672","","survey-likert","6","470620","0.0-6.0","1052","{""Q0"":""0"",""Q1"":""4"",""Q2"":""0"",""Q3"":""0"",""Q4"":""4"",""Q5"":""1"",""Q6"":""1""}"
"9343","","survey-text","7","480974","0.0-7.0","1052","{""Q0"":""saxophone""}"
"4430","32","text","8","486406","0.0-8.0","1052",""
"36819","","survey-likert","9","524248","0.0-9.0","1052","{""Q0"":""5"",""Q1"":""4"",""Q2"":""0"",""Q3"":""6"",""Q4"":""2"",""Q5"":""3"",""Q6"":""3"",""Q7"":""4"",""Q8"":""4"",""Q9"":""2"",""Q10"":""5"",""Q11"":""4"",""Q12"":""4"",""Q13"":""6""}"
"20531","","survey-likert","10","545782","0.0-10.0","1052","{""Q0"":""4"",""Q1"":""4"",""Q2"":""4""}"
"34666","","survey-likert","11","581460","0.0-11.0","1052","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"15612","","survey-text","12","598078","0.0-12.0","1052","{""Q0"":""19"",""Q1"":""MALE""}"
"4880","","survey-likert","13","603960","0.0-13.0","1052","{""Q0"":""1""}"
"2676","","survey-text","14","607639","0.0-14.0","1052","{""Q0"":""""}"
"13503","32","text","15","622143","0.0-15.0","1052",""
