"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"14551","32","text","0","14554","0.0-0.0","500 ",""
"26254","32","text","1","41813","0.0-1.0","500 ",""
"18232","32","text","2","61047","0.0-2.0","500 ",""
"136926","","survey-likert","3","198994","0.0-3.0","500 ","{""Q0"":""6"",""Q1"":""4"",""Q2"":""3"",""Q3"":""4"",""Q4"":""4"",""Q5"":""4"",""Q6"":""6"",""Q7"":""4"",""Q8"":""2"",""Q9"":""6""}"
"72848","","survey-likert","4","272858","0.0-4.0","500 ","{""Q0"":""2"",""Q1"":""5"",""Q2"":""2"",""Q3"":""0"",""Q4"":""6"",""Q5"":""5"",""Q6"":""1"",""Q7"":""5"",""Q8"":""5"",""Q9"":""5""}"
"112668","","survey-likert","5","386542","0.0-5.0","500 ","{""Q0"":""4"",""Q1"":""5"",""Q2"":""1"",""Q3"":""6"",""Q4"":""0"",""Q5"":""3"",""Q6"":""0"",""Q7"":""5"",""Q8"":""4"",""Q9"":""4"",""Q10"":""6""}"
"92709","","survey-likert","6","480262","0.0-6.0","500 ","{""Q0"":""1"",""Q1"":""1"",""Q2"":""6"",""Q3"":""2"",""Q4"":""4"",""Q5"":""3"",""Q6"":""1""}"
"7408","","survey-text","7","488680","0.0-7.0","500 ","{""Q0"":""voice""}"
"18200","18","text","8","507882","0.0-8.0","500 ",""
"65297","","survey-likert","9","574199","0.0-9.0","500 ","{""Q0"":""4"",""Q1"":""5"",""Q2"":""3"",""Q3"":""3"",""Q4"":""3"",""Q5"":""4"",""Q6"":""6"",""Q7"":""4"",""Q8"":""6"",""Q9"":""6"",""Q10"":""4"",""Q11"":""4"",""Q12"":""2"",""Q13"":""4""}"
"24263","","survey-likert","10","599473","0.0-10.0","500 ","{""Q0"":""1"",""Q1"":""1"",""Q2"":""1""}"
"274263","","survey-likert","11","874749","0.0-11.0","500 ","{""Q0"":""1"",""Q1"":""1"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""1"",""Q7"":""1"",""Q8"":""0""}"
"30293","","survey-text","12","906048","0.0-12.0","500 ","{""Q0"":""19"",""Q1"":""FEMALE""}"
"5908","","survey-likert","13","912960","0.0-13.0","500 ","{""Q0"":""1""}"
"12148","","survey-text","14","926112","0.0-14.0","500 ","{""Q0"":""""}"
"35879","32","text","15","962993","0.0-15.0","500 ",""
