"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"533919","32","text","0","533920","0.0-0.0","504",""
"57362","32","text","1","592284","0.0-1.0","504",""
"12695","32","text","2","605980","0.0-2.0","504",""
"149110","","survey-likert","3","756101","0.0-3.0","504","{""Q0"":""1"",""Q1"":""2"",""Q2"":""0"",""Q3"":""0"",""Q4"":""5"",""Q5"":""5"",""Q6"":""6"",""Q7"":""4"",""Q8"":""0"",""Q9"":""5""}"
"159516","","survey-likert","4","916625","0.0-4.0","504","{""Q0"":""2"",""Q1"":""6"",""Q2"":""1"",""Q3"":""0"",""Q4"":""5"",""Q5"":""6"",""Q6"":""5"",""Q7"":""5"",""Q8"":""6"",""Q9"":""6""}"
"184392","","survey-likert","5","1102024","0.0-5.0","504","{""Q0"":""3"",""Q1"":""5"",""Q2"":""4"",""Q3"":""5"",""Q4"":""2"",""Q5"":""4"",""Q6"":""0"",""Q7"":""4"",""Q8"":""5"",""Q9"":""1"",""Q10"":""6""}"
"210480","","survey-likert","6","1313510","0.0-6.0","504","{""Q0"":""5"",""Q1"":""4"",""Q2"":""2"",""Q3"":""2"",""Q4"":""5"",""Q5"":""2"",""Q6"":""5""}"
"13316","","survey-text","7","1327831","0.0-7.0","504","{""Q0"":""Voice""}"
"8411","32","text","8","1337243","0.0-8.0","504",""
"111409","","survey-likert","9","1449661","0.0-9.0","504","{""Q0"":""4"",""Q1"":""4"",""Q2"":""1"",""Q3"":""4"",""Q4"":""5"",""Q5"":""0"",""Q6"":""3"",""Q7"":""3"",""Q8"":""3"",""Q9"":""6"",""Q10"":""5"",""Q11"":""6"",""Q12"":""3"",""Q13"":""6""}"
"104989","","survey-likert","10","1555653","0.0-10.0","504","{""Q0"":""1"",""Q1"":""1"",""Q2"":""2""}"
"134841","","survey-likert","11","1691500","0.0-11.0","504","{""Q0"":""1"",""Q1"":""2"",""Q2"":""0"",""Q3"":""1"",""Q4"":""1"",""Q5"":""0"",""Q6"":""2"",""Q7"":""0"",""Q8"":""4""}"
"13995","","survey-text","12","1706498","0.0-12.0","504","{""Q0"":""19"",""Q1"":""FEMALE""}"
"46567","","survey-likert","13","1754068","0.0-13.0","504","{""Q0"":""1""}"
"9454","","survey-text","14","1764524","0.0-14.0","504","{""Q0"":""""}"
"24038","32","text","15","1789563","0.0-15.0","504",""
