rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,responses
2110,32,text,0,2111,0.0-0.0,516,
561,32,text,1,3688,0.0-1.0,516,
651,32,text,2,5351,0.0-2.0,516,
45292,,survey-likert,3,51652,0.0-3.0,516,"{""Q0"":""6"",""Q1"":""4"",""Q2"":""2"",""Q3"":""5"",""Q4"":""6"",""Q5"":""5"",""Q6"":""5"",""Q7"":""5"",""Q8"":""0"",""Q9"":""6""}"
46528,,survey-likert,4,99187,0.0-4.0,516,"{""Q0"":""0"",""Q1"":""6"",""Q2"":""1"",""Q3"":""0"",""Q4"":""5"",""Q5"":""5"",""Q6"":""4"",""Q7"":""6"",""Q8"":""5"",""Q9"":""5""}"
39316,,survey-likert,5,139509,0.0-5.0,516,"{""Q0"":""1"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""0"",""Q5"":""5"",""Q6"":""0"",""Q7"":""6"",""Q8"":""5"",""Q9"":""1"",""Q10"":""6""}"
19194,,survey-likert,6,159708,0.0-6.0,516,"{""Q0"":""5"",""Q1"":""5"",""Q2"":""4"",""Q3"":""1"",""Q4"":""4"",""Q5"":""0"",""Q6"":""1""}"
4421,,survey-text,7,165133,0.0-7.0,516,"{""Q0"":""Trumpet""}"
235956,39,text,8,402090,0.0-8.0,516,
52404,,survey-likert,9,455502,0.0-9.0,516,"{""Q0"":""6"",""Q1"":""5"",""Q2"":""5"",""Q3"":""5"",""Q4"":""5"",""Q5"":""2"",""Q6"":""4"",""Q7"":""4"",""Q8"":""6"",""Q9"":""4"",""Q10"":""6"",""Q11"":""6"",""Q12"":""1"",""Q13"":""6""}"
24246,,survey-likert,10,480751,0.0-10.0,516,"{""Q0"":""4"",""Q1"":""6"",""Q2"":""6""}"
36115,,survey-likert,11,517872,0.0-11.0,516,"{""Q0"":""1"",""Q1"":""1"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""1"",""Q7"":""1"",""Q8"":""0""}"
11507,,survey-text,12,530383,0.0-12.0,516,"{""Q0"":""18"",""Q1"":""FEMALE""}"
3917,,survey-likert,13,535301,0.0-13.0,516,"{""Q0"":""1""}"
2614,,survey-text,14,538917,0.0-14.0,516,"{""Q0"":""""}"
12969,32,text,15,552887,0.0-15.0,516,
