"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"104055","32","text","0","104066","0.0-0.0","509",""
"18054","32","text","1","123121","0.0-1.0","509",""
"11816","32","text","2","135937","0.0-2.0","509",""
"70433","","survey-likert","3","207379","0.0-3.0","509","{""Q0"":""5"",""Q1"":""4"",""Q2"":""3"",""Q3"":""5"",""Q4"":""6"",""Q5"":""5"",""Q6"":""6"",""Q7"":""5"",""Q8"":""0"",""Q9"":""6""}"
"72569","","survey-likert","4","280954","0.0-4.0","509","{""Q0"":""1"",""Q1"":""5"",""Q2"":""1"",""Q3"":""6"",""Q4"":""5"",""Q5"":""5"",""Q6"":""0"",""Q7"":""5"",""Q8"":""5"",""Q9"":""6""}"
"61464","","survey-likert","5","343426","0.0-5.0","509","{""Q0"":""3"",""Q1"":""5"",""Q2"":""0"",""Q3"":""4"",""Q4"":""1"",""Q5"":""5"",""Q6"":""5"",""Q7"":""5"",""Q8"":""4"",""Q9"":""3"",""Q10"":""5""}"
"69306","","survey-likert","6","413737","0.0-6.0","509","{""Q0"":""5"",""Q1"":""5"",""Q2"":""3"",""Q3"":""1"",""Q4"":""4"",""Q5"":""2"",""Q6"":""3""}"
"16132","","survey-text","7","430873","0.0-7.0","509","{""Q0"":""guitar""}"
"11230","32","text","8","443103","0.0-8.0","509",""
"47876","","survey-likert","9","491988","0.0-9.0","509","{""Q0"":""3"",""Q1"":""4"",""Q2"":""5"",""Q3"":""5"",""Q4"":""6"",""Q5"":""6"",""Q6"":""6"",""Q7"":""3"",""Q8"":""6"",""Q9"":""4"",""Q10"":""4"",""Q11"":""5"",""Q12"":""3"",""Q13"":""5""}"
"58800","","survey-likert","10","551793","0.0-10.0","509","{""Q0"":""8"",""Q1"":""5"",""Q2"":""7""}"
"79187","","survey-likert","11","631985","0.0-11.0","509","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""2"",""Q7"":""1"",""Q8"":""2""}"
"24517","","survey-text","12","657503","0.0-12.0","509","{""Q0"":""20"",""Q1"":""MALE""}"
"12821","","survey-likert","13","671327","0.0-13.0","509","{""Q0"":""0""}"
"18495","","survey-text","14","690822","0.0-14.0","509","{""Q0"":""adderall""}"
"74642","32","text","15","766464","0.0-15.0","509",""
