"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"2556","32","text","0","2557","0.0-0.0","537",""
"9471","32","text","1","13036","0.0-1.0","537",""
"11824","32","text","2","25868","0.0-2.0","537",""
"79860","","survey-likert","3","106751","0.0-3.0","537","{""Q0"":""6"",""Q1"":""6"",""Q2"":""4"",""Q3"":""4"",""Q4"":""5"",""Q5"":""4"",""Q6"":""6"",""Q7"":""6"",""Q8"":""0"",""Q9"":""5""}"
"90106","","survey-likert","4","197872","0.0-4.0","537","{""Q0"":""0"",""Q1"":""5"",""Q2"":""0"",""Q3"":""0"",""Q4"":""5"",""Q5"":""6"",""Q6"":""1"",""Q7"":""6"",""Q8"":""5"",""Q9"":""6""}"
"70549","","survey-likert","5","269430","0.0-5.0","537","{""Q0"":""0"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""1"",""Q5"":""5"",""Q6"":""0"",""Q7"":""5"",""Q8"":""6"",""Q9"":""6"",""Q10"":""6""}"
"106134","","survey-likert","6","376572","0.0-6.0","537","{""Q0"":""6"",""Q1"":""4"",""Q2"":""4"",""Q3"":""1"",""Q4"":""6"",""Q5"":""2"",""Q6"":""5""}"
"9255","","survey-text","7","386833","0.0-7.0","537","{""Q0"":""Piano""}"
"6454","32","text","8","394295","0.0-8.0","537",""
"45414","","survey-likert","9","440726","0.0-9.0","537","{""Q0"":""6"",""Q1"":""5"",""Q2"":""1"",""Q3"":""4"",""Q4"":""5"",""Q5"":""4"",""Q6"":""6"",""Q7"":""5"",""Q8"":""6"",""Q9"":""6"",""Q10"":""6"",""Q11"":""4"",""Q12"":""0"",""Q13"":""6""}"
"80696","","survey-likert","10","522433","0.0-10.0","537","{""Q0"":""2"",""Q1"":""5"",""Q2"":""5""}"
"69962","","survey-likert","11","593408","0.0-11.0","537","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""2"",""Q7"":""0"",""Q8"":""4""}"
"29562","","survey-text","12","623973","0.0-12.0","537","{""Q0"":""18"",""Q1"":""FEMALE""}"
"6160","","survey-likert","13","631141","0.0-13.0","537","{""Q0"":""1""}"
"2230","","survey-text","14","634388","0.0-14.0","537","{""Q0"":""""}"
"18119","32","text","15","653507","0.0-15.0","537",""
