rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,responses
1662,32,text,0,1665,0.0-0.0,943,
10478,32,text,1,13151,0.0-1.0,943,
5870,32,text,2,20023,0.0-2.0,943,
63998,,survey-likert,3,85043,0.0-3.0,943,"{""Q0"":""4"",""Q1"":""4"",""Q2"":""1"",""Q3"":""2"",""Q4"":""4"",""Q5"":""5"",""Q6"":""4"",""Q7"":""4"",""Q8"":""1"",""Q9"":""1""}"
70908,,survey-likert,4,156967,0.0-4.0,943,"{""Q0"":""2"",""Q1"":""3"",""Q2"":""1"",""Q3"":""4"",""Q4"":""6"",""Q5"":""6"",""Q6"":""3"",""Q7"":""6"",""Q8"":""4"",""Q9"":""3""}"
59192,,survey-likert,5,217176,0.0-5.0,943,"{""Q0"":""1"",""Q1"":""6"",""Q2"":""2"",""Q3"":""6"",""Q4"":""2"",""Q5"":""6"",""Q6"":""6"",""Q7"":""6"",""Q8"":""4"",""Q9"":""2"",""Q10"":""6""}"
33451,,survey-likert,6,251638,0.0-6.0,943,"{""Q0"":""0"",""Q1"":""0"",""Q2"":""4"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""3""}"
14966,,survey-text,7,267616,0.0-7.0,943,"{""Q0"":""I don't play one.""}"
3648,32,text,8,272264,0.0-8.0,943,
61346,,survey-likert,9,334637,0.0-9.0,943,"{""Q0"":""3"",""Q1"":""4"",""Q2"":""6"",""Q3"":""6"",""Q4"":""0"",""Q5"":""6"",""Q6"":""4"",""Q7"":""4"",""Q8"":""4"",""Q9"":""3"",""Q10"":""1"",""Q11"":""3"",""Q12"":""0"",""Q13"":""4""}"
13739,,survey-likert,10,349386,0.0-10.0,943,"{""Q0"":""7"",""Q1"":""1"",""Q2"":""1""}"
23278,,survey-likert,11,373678,0.0-11.0,943,"{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
10183,,survey-text,12,384866,0.0-12.0,943,"{""Q0"":""19"",""Q1"":""FEMALE""}"
5074,,survey-likert,13,390945,0.0-13.0,943,"{""Q0"":""1""}"
4906,,survey-text,14,396855,0.0-14.0,943,"{""Q0"":""""}"
6800,32,text,15,404656,0.0-15.0,943,
