"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"1631","32","text","0","1633","0.0-0.0","987",""
"50360","32","text","1","52996","0.0-1.0","987",""
"6432","32","text","2","60428","0.0-2.0","987",""
"49076","","survey-likert","3","110510","0.0-3.0","987","{""Q0"":""1"",""Q1"":""6"",""Q2"":""3"",""Q3"":""4"",""Q4"":""2"",""Q5"":""4"",""Q6"":""2"",""Q7"":""6"",""Q8"":""1"",""Q9"":""4""}"
"49733","","survey-likert","4","161251","0.0-4.0","987","{""Q0"":""4"",""Q1"":""1"",""Q2"":""4"",""Q3"":""2"",""Q4"":""4"",""Q5"":""6"",""Q6"":""3"",""Q7"":""5"",""Q8"":""2"",""Q9"":""6""}"
"53304","","survey-likert","5","215572","0.0-5.0","987","{""Q0"":""4"",""Q1"":""4"",""Q2"":""1"",""Q3"":""5"",""Q4"":""4"",""Q5"":""5"",""Q6"":""5"",""Q7"":""2"",""Q8"":""4"",""Q9"":""1"",""Q10"":""6""}"
"98935","","survey-likert","6","315516","0.0-6.0","987","{""Q0"":""4"",""Q1"":""3"",""Q2"":""2"",""Q3"":""0"",""Q4"":""4"",""Q5"":""1"",""Q6"":""3""}"
"8652","","survey-text","7","325180","0.0-7.0","987","{""Q0"":""Clarinet""}"
"6088","32","text","8","332269","0.0-8.0","987",""
"32158","","survey-likert","9","365455","0.0-9.0","987","{""Q0"":""6"",""Q1"":""4"",""Q2"":""0"",""Q3"":""6"",""Q4"":""2"",""Q5"":""4"",""Q6"":""4"",""Q7"":""1"",""Q8"":""6"",""Q9"":""4"",""Q10"":""6"",""Q11"":""5"",""Q12"":""5"",""Q13"":""4""}"
"44553","","survey-likert","10","411016","0.0-10.0","987","{""Q0"":""3"",""Q1"":""5"",""Q2"":""5""}"
"25580","","survey-likert","11","437609","0.0-11.0","987","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"11309","","survey-text","12","449925","0.0-12.0","987","{""Q0"":""20"",""Q1"":""FEMALE""}"
"4270","","survey-likert","13","455197","0.0-13.0","987","{""Q0"":""1""}"
"4180","","survey-text","14","460381","0.0-14.0","987","{""Q0"":""""}"
"14999","32","text","15","476382","0.0-15.0","987",""
