Q602,8b_0_GROUP,8b_1_GROUP,8b_2_GROUP,8b_3_GROUP,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,8b_1_RANK,8b_2_RANK,8b_3_RANK,8b_4_RANK,8b_5_RANK,8b_6_RANK,8b_7_RANK,8b_8_RANK,8b_9_RANK,8b_10_RANK,8b_11_RANK,8b_12_RANK,8b_13_RANK,8b_14_RANK,8b_15_RANK,8b_16_RANK,t
500,",,,",",, ,",",,,",",,,",,1,,,,3,,,,,,4,,2,,,,,4,,,,,,2,3,,,1,,,,,,,,4,,,3,,,1,,,,,2,3,,,1,,,2,,,,,,,,4,,1
501,",,,",",,,"," ,,,",",,,",,,,,,,4,1,2,,,,3,,,,,,,4,1,,,,,,3,,,,,2,,,4,,,3,,,,1,,2,,,,,2,3,,,,,,,,,,,,1,4,,1
502,",,,",",,,",",, ,",",,,",,,3,,4,,,,,,,,,,1,2,3,,,,,,2,1,,,4,,,,,,,,,,,2,,,,3,,4,,1,,,,4,,1,,,,,3,,,,2,,,,1
503,", ,,",",,,",",,,",",,,",,,1,,,4,,,,2,,,,3,,,3,,,,2,,,,,,4,,,,,1,,,,4,,,,,2,,,,1,,3,,,2,,,,,1,3,,,,4,,,,,1
504,",,,",",,,",", ,,",",,,",,,,,1,,,4,,,2,,,,,3,,4,2,,,,,,,,,3,,,1,,3,,,,,4,,,,2,,,,1,,,,,,2,,,4,,1,,,,3,,,,1
505,",,,",",,, ",",,,",",,,",,2,,,,3,,,,,,,,4,1,,,,3,,,,1,,2,4,,,,,,,,,,,1,,,4,,,3,,,,,2,3,,,1,,,,,,,,4,2,,,,1
506,",,,",",,,"," ,,,",",,,",,1,,,,3,,2,,,,,,,4,,4,,,,3,,,,,,1,,,,,2,,,3,,,,,,,1,,4,,2,,,,,,2,,,3,,4,,,,1,,,,1
507,",,,",",,, ",",,,",",,,",,,,,,4,,,,,,2,,3,1,,,1,,,,,2,3,,4,,,,,,,,,4,1,,,,,2,,,,3,,,,4,,,,3,,,,,,2,,,,,1,1
508,",,,",",,,",",,, ",",,,",,,,,,,1,4,2,,,,3,,,,3,,4,,,,,,,,2,,,,,1,,,,3,1,,,,,4,,,,2,,,,3,,,,2,,,,,,1,,,4,,1
509,",,,",",,,"," ,,,",",,,",,,,,3,,2,,,,1,,,,,4,,,4,1,,,,,,,,,3,,2,,,4,,,,,,2,,1,,,,3,,,3,,,,,4,,,2,,,1,,,,,1
510,",, ,",",,,",",,,",",,,",,,1,,,,,,,3,,4,,2,,,,1,,,,2,,,4,,,,3,,,,2,,,1,,,,4,,,,,,,3,,,,,,3,,4,,,,2,,,,,1,1
511,",,,",",,,",", ,,",",,,",3,,,,,,,,,,1,,,,4,2,,,,3,,,,4,2,,,,1,,,,,1,,,3,,,,,2,,,,4,,,,,1,,,4,2,,,,,3,,,,,1
512,",,,",",,,",",,,",", ,,",,,,2,,,3,,1,,,,4,,,,4,,,,2,,,,,,3,,,,,1,,,3,,,1,,,,,,4,,2,,,,1,,,,,,4,,2,,,,,3,,1
513,",, ,",",,,",",,,",",,,",,,1,,,4,,,,3,,,,2,,,,4,,1,,,,2,3,,,,,,,,,,,,2,,,,,,4,,,,3,1,2,,,,,,3,,,,,4,1,,,,1
514,", ,,",",,,",",,,",",,,",,,3,,,,,,,2,,1,,,4,,4,,,,1,,,,,,3,,,,,2,,,,4,,,,2,3,,,,1,,,,,4,,,,2,3,,,,,,,1,,,1
515,",,,",",,,",",,,"," ,,,",4,,,,3,,,,,,2,,,,,1,,,,3,,,,4,2,,,,1,,,,,3,,,,1,,,,,,,,2,4,,,,4,,,,3,,,1,,2,,,,,1
516,",,,",",, ,",",,,",",,,",,,,3,,4,,,2,,,,1,,,,2,,,,,,,,,3,,,,1,4,,,2,3,,,,1,,,,,4,,,,,,,,,3,,,4,,,1,,,,,2,1
517,",,,",",,,",",, ,",",,,",,,,,,1,,4,2,,,,3,,,,,,,2,1,,,,,,,,,,4,3,,4,,,,,,,,3,,2,,1,,,3,,2,,,,4,,,,1,,,,,,1
518,",, ,",",,,",",,,",",,,",,4,,,,,,,,3,1,,,,,2,3,,4,,1,,,,,,,,,,2,,,,,,,1,2,,,,,3,,4,,,,,,3,,,,4,1,,,,2,,,,1
519,",,,",",,,",",,,",",,, ",,,,3,2,,,,,,4,,,,,1,,,1,,,,4,2,,,,,,,3,,,,,,,3,,,4,,,1,2,,,,2,3,,,,,,,,4,,,,1,,,1
520,", ,,",",,,",",,,",",,,",,3,,,,4,,,,2,,1,,,,,,,,,2,,4,,,,3,,,,,1,,,,2,,,,4,3,,,,1,,,,2,,3,,,,,,,,,,,1,4,,1
521,",,,",", ,,",",,,",",,,",,,,,2,,,,,,3,,,,4,1,,1,,4,,,,,,2,,,,3,,,,,,,,1,4,,3,,,2,,,,,4,,2,,,,,3,,,,,1,,,,1
522,",,, ",",,,",",,,",",,,",,2,,,,1,,,,4,,,,,3,,,,,4,,,3,2,1,,,,,,,,4,,,,1,,,,,,2,,,,,3,,,1,,,,,,,,,3,4,2,,,1
523," ,,,",",,,",",,,",",,,",,,,,3,4,,,,1,,,,2,,,,,,4,,,,2,,,,,3,,1,,,4,,,,,,,,,1,3,,,,2,2,,4,,,,1,,3,,,,,,,,1
524," ,,,",",,,",",,,",",,,",,4,,,,3,,,,1,,,,2,,,,,,1,,,,2,4,,,,3,,,,2,,,,,,,,,,3,4,,,,1,,,3,,1,,4,,,,,,,,2,,1
525,",,,",",,,",",,,",",,, ",,,,,2,,,4,,,,,,,3,1,,,2,1,,,,,3,,,4,,,,,,4,,,,1,2,,,,,,,3,,,1,,,,,,,,,4,2,,3,,,,1
526,",,,",",,,",",,,",", ,,",,,,2,4,,,3,,,,,1,,,,,3,,,,1,,,2,,,,,4,,,,,3,,,,4,,,,2,,,,,1,4,,,,,,,,,2,,1,,,3,,1
527,",,,",",,,",",, ,",",,,",,,3,,,,,,,,,1,4,2,,,,,,2,,,4,1,3,,,,,,,,,1,,,,2,,,,3,4,,,,,,1,,,,2,,,,,,,,,,3,4,1
528,",,,",",,,",",, ,",",,,",1,,2,3,,,4,,,,,,,,,,,,,,4,,,,2,,1,3,,,,,,4,,,,1,,,,3,,,,2,,,,,,,,,,4,,,,,2,,1,3,1
529,",,,",",,,",",,, ",",,,",,,,4,,,,2,3,,,,1,,,,,2,4,,3,,,,,,,,,,1,,,,,,,2,,,,4,,1,,3,,,2,,,,,,4,,,,1,,,,,3,1
530,",,,",",, ,",",,,",",,,",,,,1,,,3,,2,,,,4,,,,1,4,2,,,,,,,3,,,,,,,,,,,1,,,,,,4,,,,3,2,,,,,,3,,2,,,,4,,1,,,1
531,",,,",",,,",", ,,",",,,",,2,,,,4,3,,,,,,,1,,,,,,4,,,,3,,,,2,1,,,,,,1,,,,,,4,2,,,,,,3,4,,,,3,,,,,,2,,,,1,,1
532,",,,",",,,"," ,,,",",,,",,,,1,,2,,,4,,,,3,,,,,,,,,,4,,,,2,,,,3,1,4,,2,,,,,,,1,,3,,,,,,4,,,2,,,3,,,,,,1,,,1
533,",,,",",,,",",,, ",",,,",,,,3,,,,4,1,,,,2,,,,,,2,,,,3,,,,,1,,,4,,,3,,,,2,,,,4,,,,1,,,4,,,,3,,,,,,2,,,,,1,1
534,",,,",", ,,",",,,",",,,",,,,2,,,3,,4,,,,1,,,,1,,3,,,,,4,,2,,,,,,,,3,,,,1,,,,,,2,,4,,,,,,,3,,,,,,2,,,,4,1,1
535,",,,",",,,",",,, ",",,,",3,,,,2,,,,,,4,,,,,1,,,,2,,,1,,4,,,,3,,,,,,2,,,,,1,,4,,,,,3,,,2,,,,1,,,,,,4,,3,,,1
536,",,, ",",,,",",,,",",,,",,1,,,,,,,,4,,2,,3,,,4,,,,2,,,,,,3,,,,,1,,,,3,,4,,,1,,,,2,,,,,,3,,,,2,4,,,,,,,1,,1
537,",,,",", ,,",",,,",",,,",,,,,,,4,,2,,,,1,,3,,,4,,,,3,,,,2,,,,1,,,,,4,1,,,,3,,,,2,,,,,4,,,,2,,,,,,1,,,,,3,1
538," ,,,",",,,",",,,",",,,",,4,,,,2,,,,1,,,,3,,,,,,,,,3,,2,,,4,1,,,,,,3,2,1,,,4,,,,,,,,,4,,,,,,,,,,2,,,,1,3,1
539,",,,",",, ,",",,,",",,,",,,,,2,,,,,,1,,,3,,4,4,,2,,,1,,,,3,,,,,,,,4,,3,,,1,,,,,,2,,,,,,,,,,,2,3,,,4,,,1,,1
540,",,, ",",,,",",,,",",,,",,,,,,,,1,,4,,2,3,,,,,4,,,,1,,,,,,,,3,2,,,,,1,,,4,,2,,3,,,,,,4,,2,,3,,,,,,,,,,,1,1
541,",,,",", ,,",",,,",",,,",4,,3,,,,,2,,,,,,1,,,,1,,,,3,,,,2,,4,,,,,,,,2,,,4,,1,,,,3,,,,,,,,2,,,,,,3,,,,4,1,1
