StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q602,8b_0_GROUP,8b_1_GROUP,8b_2_GROUP,8b_3_GROUP,8b_0_1_RANK,8b_0_2_RANK,8b_0_3_RANK,8b_0_4_RANK,8b_0_5_RANK,8b_0_6_RANK,8b_0_7_RANK,8b_0_8_RANK,8b_0_9_RANK,8b_0_10_RANK,8b_0_11_RANK,8b_0_12_RANK,8b_0_13_RANK,8b_0_14_RANK,8b_0_15_RANK,8b_0_16_RANK,8b_1_1_RANK,8b_1_2_RANK,8b_1_3_RANK,8b_1_4_RANK,8b_1_5_RANK,8b_1_6_RANK,8b_1_7_RANK,8b_1_8_RANK,8b_1_9_RANK,8b_1_10_RANK,8b_1_11_RANK,8b_1_12_RANK,8b_1_13_RANK,8b_1_14_RANK,8b_1_15_RANK,8b_1_16_RANK,8b_2_1_RANK,8b_2_2_RANK,8b_2_3_RANK,8b_2_4_RANK,8b_2_5_RANK,8b_2_6_RANK,8b_2_7_RANK,8b_2_8_RANK,8b_2_9_RANK,8b_2_10_RANK,8b_2_11_RANK,8b_2_12_RANK,8b_2_13_RANK,8b_2_14_RANK,8b_2_15_RANK,8b_2_16_RANK,8b_3_1_RANK,8b_3_2_RANK,8b_3_3_RANK,8b_3_4_RANK,8b_3_5_RANK,8b_3_6_RANK,8b_3_7_RANK,8b_3_8_RANK,8b_3_9_RANK,8b_3_10_RANK,8b_3_11_RANK,8b_3_12_RANK,8b_3_13_RANK,8b_3_14_RANK,8b_3_15_RANK,8b_3_16_RANK,t
10/6/17 12:53,10/6/17 13:03,IP Address,167.96.36.228,100,592,TRUE,10/6/17 13:03,R_9TAiXBpMUg2OXjX,,,,,30.40499878,-91.1867981,anonymous,EN,500,",,,",",, ,",",,,",",,,",,1,,,,3,,,,,,4,,2,,,,,4,,,,,,2,3,,,1,,,,,,,,4,,,3,,,1,,,,,2,3,,,1,,,2,,,,,,,,4,,1
9/27/17 15:51,9/27/17 15:59,IP Address,167.96.151.73,100,516,TRUE,9/27/17 15:59,R_332dmC0tNXMwB5W,,,,,30.40499878,-91.1867981,anonymous,EN,501,",,,",",,,"," ,,,",",,,",,,,,,,4,1,2,,,,3,,,,,,,4,1,,,,,,3,,,,,2,,,4,,,3,,,,1,,2,,,,,2,3,,,,,,,,,,,,1,4,,1
9/28/17 10:46,9/28/17 10:53,IP Address,167.96.150.174,100,462,TRUE,9/28/17 10:53,R_QiUntoleH5CDLX3,,,,,30.40499878,-91.1867981,anonymous,EN,502,",,,",",,,",",, ,",",,,",,,3,,4,,,,,,,,,,1,2,3,,,,,,2,1,,,4,,,,,,,,,,,2,,,,3,,4,,1,,,,4,,1,,,,,3,,,,2,,,,1
9/28/17 13:14,9/28/17 13:22,IP Address,167.96.150.174,100,442,TRUE,9/28/17 13:22,R_1C7qDFSk80gAWOc,,,,,30.40499878,-91.1867981,anonymous,EN,503,", ,,",",,,",",,,",",,,",,,1,,,4,,,,2,,,,3,,,3,,,,2,,,,,,4,,,,,1,,,,4,,,,,2,,,,1,,3,,,2,,,,,1,3,,,,4,,,,,1
10/5/17 15:11,10/5/17 15:21,IP Address,167.96.14.106,100,613,TRUE,10/5/17 15:21,R_3MzGMF38fVuKcei,,,,,30.40499878,-91.1867981,anonymous,EN,504,",,,",",,,",", ,,",",,,",,,,,1,,,4,,,2,,,,,3,,4,2,,,,,,,,,3,,,1,,3,,,,,4,,,,2,,,,1,,,,,,2,,,4,,1,,,,3,,,,1
10/2/17 13:45,10/2/17 13:51,IP Address,167.96.144.130,100,301,TRUE,10/2/17 13:51,R_3dY8qvu58liKu8W,,,,,30.40499878,-91.1867981,anonymous,EN,505,",,,",",,, ",",,,",",,,",,2,,,,3,,,,,,,,4,1,,,,3,,,,1,,2,4,,,,,,,,,,,1,,,4,,,3,,,,,2,3,,,1,,,,,,,,4,2,,,,1
10/2/17 16:48,10/2/17 16:54,IP Address,167.96.144.130,100,326,TRUE,10/2/17 16:54,R_1H7X2EIYD3gjAvD,,,,,30.40499878,-91.1867981,anonymous,EN,506,",,,",",,,"," ,,,",",,,",,1,,,,3,,2,,,,,,,4,,4,,,,3,,,,,,1,,,,,2,,,3,,,,,,,1,,4,,2,,,,,,2,,,3,,4,,,,1,,,,1
10/3/17 17:19,10/3/17 17:25,IP Address,167.96.134.207,100,341,TRUE,10/3/17 17:25,R_3paSJBj6zDUq1R2,,,,,30.40499878,-91.1867981,anonymous,EN,507,",,,",",,, ",",,,",",,,",,,,,,4,,,,,,2,,3,1,,,1,,,,,2,3,,4,,,,,,,,,4,1,,,,,2,,,,3,,,,4,,,,3,,,,,,2,,,,,1,1
10/5/17 13:25,10/5/17 13:32,IP Address,167.96.50.112,100,407,TRUE,10/5/17 13:32,R_3HHQYD4WUl5vjEA,,,,,30.40499878,-91.1867981,anonymous,EN,508,",,,",",,,",",,, ",",,,",,,,,,,1,4,2,,,,3,,,,3,,4,,,,,,,,2,,,,,1,,,,3,1,,,,,4,,,,2,,,,3,,,,2,,,,,,1,,,4,,1
10/5/17 15:39,10/5/17 15:47,IP Address,167.96.50.112,100,456,TRUE,10/5/17 15:47,R_2fp9Bb02lKjeHtE,,,,,30.40499878,-91.1867981,anonymous,EN,509,",,,",",,,"," ,,,",",,,",,,,,3,,2,,,,1,,,,,4,,,4,1,,,,,,,,,3,,2,,,4,,,,,,2,,1,,,,3,,,3,,,,,4,,,2,,,1,,,,,1
