Q70,1-Jan,QID10,1-Nov,QID50,6,QID30,1-Jul,QID34,1-Aug,QID38,14,QID62,1-Dec,QID54,26,QID110,13-1,QID58,15-1,QID66,20-1,QID86,25-1,QID106,27-1,QID114,SC0,SC9,uid,phase,task,t
500,Different,I'm totally sure,Different,I think so,Same,I'm guessing,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,8,8,,,,1
501,Different,I think so,Different,I think so,Different,I think so,Same,I'm totally sure,Different,I think so,Different,I'm totally sure,Different,I think so,Different,I think so,Different,I think so,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I think so,7,7,,,,1
502,Different,I'm totally sure,Different,I'm guessing,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I think so,8,8,,,,1
503,Same,I'm guessing,Same,I think so,Different,I think so,Different,I think so,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Different,I think so,10,10,,,,1
504,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I'm totally sure,10,10,,,,1
505,Same,I'm guessing,Different,I think so,Different,I'm totally sure,Same,I'm guessing,Different,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I think so,Different,I'm guessing,Different,I think so,Different,I think so,Different,I think so,Different,I think so,5,5,,,,1
506,Same,I think so,Same,I'm guessing,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm guessing,Same,I think so,Different,I'm totally sure,Different,I think so,8,8,,,,1
507,Different,I think so,Same,I think so,Same,I'm totally sure,Same,I think so,Same,I think so,Different,I'm totally sure,Same,I think so,Different,I'm totally sure,Same,I think so,Same,I think so,Same,I'm guessing,Different,I think so,Same,I think so,6,6,,,,1
508,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I think so,Same,I think so,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,7,7,,,,1
509,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Different,I think so,Same,I think so,Same,I think so,Same,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I think so,12,12,,,,1
510,Different,I'm totally sure,Same,I think so,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,10,10,,,,1
511,Different,I'm totally sure,Different,I'm guessing,Different,I think so,Same,I think so,Different,I'm totally sure,Different,I'm guessing,Same,I'm totally sure,Different,I'm guessing,Same,I'm guessing,Different,I'm totally sure,Same,I think so,Same,I'm totally sure,Same,I'm guessing,9,9,,,,1
512,Different,I think so,Different,I think so,Different,I'm guessing,Different,I think so,Different,I think so,Different,I'm guessing,Same,I think so,Different,I think so,Different,I think so,Same,I think so,Different,I think so,Different,I think so,Same,I think so,4,4,,,,1
513,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm guessing,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,10,10,,,,1
514,Same,I think so,Same,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I think so,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,9,9,,,,1
515,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I think so,Different,I think so,Different,I think so,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,9,9,,,,1
516,Different,I'm totally sure,Different,I'm guessing,Different,I'm totally sure,Same,I think so,Different,I think so,Same,I think so,Same,I think so,Different,I think so,Different,I think so,Different,I'm guessing,Same,I think so,Different,I think so,Different,I think so,9,9,,,,1
517,Different,I think so,Same,I think so,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm guessing,Same,I think so,Same,I'm guessing,Different,I think so,Different,I think so,Different,I'm totally sure,Different,I think so,Different,I'm totally sure,10,10,,,,1
518,Different,I'm guessing,Same,I think so,Same,I'm guessing,Different,I'm guessing,Different,I'm guessing,Same,I think so,Same,I think so,Different,I think so,Different,I'm guessing,Different,I'm totally sure,Different,I think so,Same,I think so,Different,I'm guessing,8,8,,,,1
519,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,11,11,,,,1
520,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,Same,I'm totally sure,6,6,,,,1
521,Different,I think so,Same,I'm totally sure,Different,I'm guessing,Same,I'm guessing,Different,I'm totally sure,Same,I'm totally sure,Different,I'm guessing,Same,I think so,Different,I'm guessing,Different,I'm totally sure,Same,I think so,Different,I'm guessing,Different,I'm guessing,10,10,,,,1
522,Same,I'm guessing,Same,I'm guessing,Different,I'm guessing,Same,I think so,Different,I'm totally sure,Same,I'm guessing,Different,I think so,Different,I think so,Different,I'm guessing,Same,I'm guessing,Same,I'm guessing,Same,I'm guessing,Different,I think so,8,8,,,,1
523,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Same,I think so,Same,I'm totally sure,Same,I'm totally sure,Different,I think so,Same,I'm totally sure,Same,I'm totally sure,9,9,,,,1
524,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I'm totally sure,Different,I'm totally sure,Same,I think so,Same,I think so,Different,I think so,Same,I'm totally sure,Different,I'm totally sure,Different,I think so,Different,I think so,Different,I'm totally sure,10,10,,,,1
525,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I think so,Different,I'm totally sure,Different,I'm totally sure,Same,I think so,Different,I'm guessing,Different,I'm totally sure,Same,I think so,4,4,,,,1
