"AccErrorTotal:Mean, SpeedErrorTotal:Mean, MathErrorTotal:Mean, OspanPartialScore:Mean, OspanAbsoluteScore:Mean, OspanPartialScoreBlock1:Mean, OspanPartialScoreBlock2:Mean, OspanPartialScoreBlock3:Mean by Subject",,,,,,,,
Subject,Mean AccErrorTotal,Mean MathErrorTotal,Mean OspanAbsoluteScore,Mean OspanPartialScore,Mean OspanPartialScoreBlock1,Mean OspanPartialScoreBlock2,Mean OspanPartialScoreBlock3,Mean SpeedErrorTotal
500,6,7,62,72,24,25,23,1
501,2,2,41,57,17,19,21,0
502,2,3,48,65,22,19,24,1
503,0,4,46,64,25,18,21,4
504,9,12,62,73,24,25,24,3
505,1,1,3,15,4,9,2,0
506,6,6,51,59,16,25,18,0
507,2,2,62,71,25,25,21,0
508,4,5,28,56,21,19,16,1
509,7,7,45,63,18,22,23,0
510,2,2,23,48,15,18,15,0
511,2,4,61,68,20,25,23,2
512,5,8,43,58,18,18,22,3
513,4,4,69,73,23,25,25,0
514,5,6,56,63,16,22,25,1
515,3,5,43,62,20,23,19,2
516,4,5,47,64,20,20,24,1
517,1,1,55,68,23,20,25,0
518,2,2,39,65,18,23,24,0
519,1,2,52,66,17,25,24,1
520,5,7,48,67,21,22,24,2
521,5,6,22,60,20,19,21,1
522,2,3,63,69,25,19,25,1
523,5,5,43,61,18,20,23,0
524,2,2,26,50,10,19,21,0
525,2,3,49,68,20,24,24,1
526,11,11,19,57,17,18,22,0
527,8,9,29,49,17,10,22,1
528,2,3,44,64,23,18,23,1
529,6,8,28,57,18,17,22,2
530,2,2,56,69,21,23,25,0
531,5,7,66,70,23,22,25,2
532,5,5,22,47,12,13,22,0
533,5,9,51,64,20,20,24,4
534,2,7,42,63,19,22,22,5
535,3,3,18,44,17,12,15,0
536,4,5,49,69,22,22,25,1
537,6,7,32,50,19,16,15,1
538,4,5,17,52,14,19,19,1
539,7,10,57,66,17,24,25,3
540,2,3,48,67,21,23,23,1
541,0,1,31,57,19,19,19,1
542,3,4,68,74,24,25,25,1
543,3,6,7,30,10,11,9,3
544,1,1,30,52,14,21,17,0
545,7,8,51,65,23,21,21,1
546,4,6,4,24,10,7,7,2
547,11,13,21,43,16,8,19,2
548,8,9,51,61,19,17,25,1
549,7,8,61,72,24,25,23,1
550,3,4,64,70,20,25,25,1
551,1,1,68,74,25,24,25,0
