subject_id,one,two,three,four,summary,revSummary
1053,"{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[]}",None,None
1054,"{""Q0"":[""Sensory-Motor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Sensory-Motor"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","Sensory-Motor,Explicit Musical Word, Rehearsal","Sensory-Motor,Explicit Musical Word, Rehearsal"
1055,"{""Q0"":[""Sensory-Motor"",""Metaphor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal""]}","Sensory-Motor, Rehearsal","Sensory-Motor, Rehearsal"
1056,"{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal""]}","Sensory-Motor, Rehearsal, Ordinal","Sensory-Motor, Rehearsal, Ordinal"
1057,"{""Q0"":[""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","Ordinal, Rehearsal, Explicit Musical Word","Ordinal, Rehearsal, Explicit Musical Word"
1058,"{""Q0"":[""Ordinal"",""Metaphor"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Metaphor"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Metaphor"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Metaphor""]}","Ordinal, Metaphor, Rehearsal","Ordinal, Metaphor, Rehearsal"
1305,"{""Q0"":[""Metaphor"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Auditory Image""]}","{""Q0"":[""Ordinal"",""Auditory Image""]}","{""Q0"":[""Ordinal"",""Rehearsal"",""Auditory Image"",""Explicit Musical Word (e.g. melody, pitch, note, audiate, song).""]}","Rehearsal, Auditory Image, Ordinal","Rehearsal, Auditory Image, Ordinal"
1306,"{""Q0"":[""Ordinal"",""Metaphor"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","{""Q0"":[""Ordinal"",""Rehearsal""]}","Orinal, Rehearsal","Orinal, Rehearsal"
1307,"{""Q0"":[""Metaphor"",""Rehearsal""]}","{""Q0"":[]}","{""Q0"":[]}","{""Q0"":[""Rehearsal""]}",Rehearsal,Rehearsal
1308,"{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Rehearsal""]}","{""Q0"":[""Sensory-Motor"",""Ordinal"",""Rehearsal""]}","Sensory-Agreement, Rehearsal, Ordinal","Sensory-Agreement, Rehearsal, Ordinal"
