,Subject,Response.Type,Strata
1,1001,RESPONSE,Repeat the previous notes between each problem. 
2,1002,RESPONSE,i just repeated the tones in the order in my head after every math problem from the beginning.  
3,1003,RESPONSE,I converted the sounds into numbers. L=1 M=2 H=3. Then I kept count on my fingers how many sounds played. a repeated the number i would make back to myself. 1 then 13 then 132 then132312LEFTARROWLEFTARROWLEFTARROWLEFTARROWRIGHTARROWRIGHTARROWRIGHTARROWRIGHTARROW  
4,1004,RESPONSE,I used my fingers to count and to remember the order of the tones. 
5,1005,RESPONSE,i tried to keep track of the sounds using my fingers 
6,1006,RESPONSE,I mouthed the word of each tone after I heard it in order to memorize it 
7,1007,RESPONSE,I could not use any strategies. My average math time was too fast. 
8,1008,RESPONSE,i would constantly repeat the order of the tones in my head 
9,1009,RESPONSE,"constantly repeating to myself L, M, H depending on the order they fell in and then answered those based on that if i could remember them all "
10,1010,RESPONSE,"I used the 1st, 3rd, and 5th finger of my left hand and designated each as L M or H and repeated the pattern after each math problem, while adding the most recent tone "
11,1011,NO RESPONSE,
12,1012,RESPONSE,Repeating the sequence of noises in my head when a new one was added 
13,1013,RESPONSE,counting how many sounds there were 
14,1014,RESPONSE,Sequencing LMH when in order and just remembering order or reverse order as one tone  
15,1015,RESPONSE,repeating the order of every set of tones over in my head after a new tone was played  
16,1016,RESPONSE,the tones were hard for me to remember. 
17,1017,RESPONSE,"Trying to capture the tone and repeat low, medium high. But the math is extremely distracting when you suck at math. "
18,1018,RESPONSE,"if a lower tone played before or after it, i knew it couldn't be the lowest "
19,1019,RESPONSE,i tried using my fingers to remember which tone went in which order to help visualize 
20,1020,RESPONSE,I sang the notes in my head in order to register them on a mental note chart. 
21,1021,RESPONSE,i tried remembering the sounds of the patterns so it would be easier 
22,1022,RESPONSE,"I attempted to memorize the order and repeat it adding in the new tone (e.g. Medium, Medium-Low, Medium-Low-High)h) "
23,1023,RESPONSE,Instead of trying to remember the whole word (ex. medium)m) I would use the first letter ande repeat it after each one adding them all together at the end. 
24,1024,RESPONSE,I didn't use any tricks. I just did the simple math in my head while saying the tones over in my head again. 
25,1025,RESPONSE,"I would try to just look at the math problem without finding the answer and then see if the answer shown was correct, then memorized the notes given  "
26,1026,RESPONSE,none 
27,1027,RESPONSE,I said the tones in my head after I heard them. 
28,1028,RESPONSE,Repition of the notes 
29,1033,RESPONSE,I just repeated the pattern in my head as i solved the problems. 
30,1034,RESPONSE,"It was very difficult at first to try to remember the tones without a tool or strategy, but once I started using the fingers on my left hand as a reminder of L,M,H notes it was much easier to recall the patterns. i also started repeating the sequence mentally each time a new tone would play to reinforce what I had already heard. I used my pinky finger as low, middle finger as finger as M, and thumb as High, siimilar to when I played the piano.  "
31,1035,RESPONSE,repeated the tones in my head while solving the equations. 
